title,author,album,url,score
Don't Be Cruel,Elvis Presley,Elvis' Golden Records,https://open.spotify.com/track/01u6AEzGbGbQyYVdxajxqk,
Big Iron,Marty Robbins,Gunfighter Ballads And Trail Songs,https://open.spotify.com/track/0AQquaENerGps8BQmbPw14,
Come Rain Or Come Shine,Judy Garland,Judy,https://open.spotify.com/track/1rtzABisO0N3DL9S3WQ2Z1,
Johnny B. Goode,Chuck Berry,Berry Is On Top,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2,
Tutti Frutti,Little Richard,Here's Little Richard (Deluxe Edition),https://open.spotify.com/track/2iXcvnD3d1gfLBum0cE5Eg,
Blue Suede Shoes,Elvis Presley,Elvis Presley,https://open.spotify.com/track/47gmoUrZV3w20JAnQOZMcO,
Come Fly With Me - Remastered,Frank Sinatra,Come Fly With Me (Remastered),https://open.spotify.com/track/4hHbeIIKO5Y5uLyIEbY9Gn,
Hound Dog,Elvis Presley,Elvis' Golden Records,https://open.spotify.com/track/64Ny7djQ6rNJspquof2KoX,
The Weight - Remastered,The Band,Music From Big Pink (Remastered),https://open.spotify.com/track/0P7DoyGrr4Wp9w5TotEtUC,
It Takes Two,"Marvin Gaye, Kim Weston",Take Two,https://open.spotify.com/track/0UERoCKd24PKovd4BwRzBQ,
Let's Twist Again,Chubby Checker,It's Pony Time/Let's Twist Again,https://open.spotify.com/track/1INWPr855fwWdAOeecbu0W,
Stand by Me,Otis Redding,Pain in My Heart,https://open.spotify.com/track/1aj4GXfmEYXfdVZohCpNKu,
Don't Rain On My Parade,Barbra Streisand,Funny Girl - Original Soundtrack Recording,https://open.spotify.com/track/1zf8Xmj66XRiI6Etw2Ddu7,
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,
"The Good, The Bad and The Ugly - Il Buono, Il Brutto, Il Cattivo (Titles)",Ennio Morricone,"The Good, The Bad and The Ugly (Original Motion Picture Soundtrack) [Remastered Edition]",https://open.spotify.com/track/2IJJszwGK4NWmh3bNK6CPD,
To ostatnia niedziela,Mieczyslaw Fogg,Niezapomniane przeboje,https://open.spotify.com/track/2Lv7bdRJEmqU6lM9KJj78Y,
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,
Unsquare Dance,Dave Brubeck,Dave Brubeck's Greatest Hits,https://open.spotify.com/track/2jfiDZCg4UjLJEFktdcAV4,
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc,
Yesterday - Remastered 2009,The Beatles,Help! (Remastered),https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI,
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC,
Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh,
Yellow Submarine - Remastered 2009,The Beatles,Revolver (Remastered),https://open.spotify.com/track/50xwQXPtfNZFKFeZ0XePWc,
Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),https://open.spotify.com/track/5ZBeML7Lf3FMEVviTyvi8l,
Light My Fire,The Doors,The Doors,https://open.spotify.com/track/5uvosCdMlFdTXhoazkTI5R,
Sweet Caroline,Neil Diamond,Sweet Caroline,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,
Born To Be Wild,Steppenwolf,Steppenwolf,https://open.spotify.com/track/63OFKbMaZSDZ4wtesuuq6f,
"Paint It, Black",The Rolling Stones,Aftermath,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,
You Never Can Tell,Chuck Berry,St. Louis To Liverpool,https://open.spotify.com/track/6FT83pFXKhDlXDsNJFAHWz,
Matura,Czerwone Gitary,To właśnie my,https://open.spotify.com/track/6NdNKJDvoYfmLFeC0bEDbe,
Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,
Prześliczna wiolonczelistka,Skaldowie,Cała jesteś w skowronkach,https://open.spotify.com/track/7CuUAXRcEzEJmgPEioUkGr,
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,https://open.spotify.com/track/7tqhbajSfrz2F7E1Z75ASX,
