title,author,album,url,score
Eins Zwei Polizei,Mo-Do,Was Ist Das,https://open.spotify.com/track/015p8TgFahkz0viuux9YGJ,
Cykady na Cykladach - 2011 Remaster,Maanam,The Singles Collection [2011 Remaster],https://open.spotify.com/track/036fV8swMleTnjOdhVDV1E,
Bla Bla Bla,Gigi D'Agostino,L'Amour Toujours,https://open.spotify.com/track/04zrPERrSO4CfyargthKJ9,
High,Lighthouse Family,Postcards From Heaven,https://open.spotify.com/track/0AQHfKjzky28rf5ytfBANJ,
A Wszystko To...(Bo Ciebie Kocham),Ich Troje,3,https://open.spotify.com/track/0CBj18X3J7MabwDqKeMxuo,
"Circle of Life - From ""The Lion King""/ Soundtrack","Carmen Twillie, Lebo M.",The Lion King,https://open.spotify.com/track/0HU5JnVaKNTWf6GykV9Zn8,
Breathe,The Prodigy,The Fat of the Land,https://open.spotify.com/track/0Ja4hLKiUSw01E01pJ1yGr,
Party Up,DMX,...And Then There Was X,https://open.spotify.com/track/0LWkaEyQRkF0XAms8Bg1fC,
Always Look On The Bright Side Of Life,Monty Python,The Ultimate Monty Python Rip Off,https://open.spotify.com/track/0MFoWrqSGZs0x4Y156Izuz,
Livin' la Vida Loca,Ricky Martin,Ricky Martin,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,
Sabotage,Beastie Boys,Ill Communication,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9,
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",The Score (Expanded Edition),https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl,
My Favourite Game,The Cardigans,Gran Turismo (Remastered),https://open.spotify.com/track/0Ui05Ov0s4PnRc4JI3Pilg,
Don't Look Back in Anger - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd,
The Riddle,Gigi D'Agostino,L'Amour Toujours,https://open.spotify.com/track/0ZqveF2rEFlz2oqF2xrriP,
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,
Emotions,Mariah Carey,Emotions,https://open.spotify.com/track/0cELvuwJW1acISUHYB6suj,
Wypijmy za błędy,Ryszard Rynkowski,Ryszard Rynkowski,https://open.spotify.com/track/0dCAeeVzkM0yjvgNxNQBIM,
100% Pure Love,Crystal Waters,The Best Of Crystal Waters,https://open.spotify.com/track/0dfQwyoZoS9LgQiU6AJO7f,
"Romeo and Juliet, Op.64 / Act 1: 13. Dance Of The Knights","Sergei Prokofiev, Mariinsky Orchestra, Valery Gergiev",100 Classical Favourites,https://open.spotify.com/track/0e1z8QKCuA2resroswon72,
Martwe morze,Budka Suflera,Akustycznie,https://open.spotify.com/track/0iccoJh6gAceIyxOcGUBMf,
Smooth (feat. Rob Thomas),"Santana, Rob Thomas",Supernatural (Remastered),https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW,
The Rhythm of the Night,Corona,The Rhythm of the Night,https://open.spotify.com/track/0ofMkI3jzmGCElAOgOLeo3,
"Right Here, Right Now",Fatboy Slim,You've Come a Long Way Baby (10th Anniversary Edition),https://open.spotify.com/track/0qnqsfFYgBo0sPHM2JmfTq,
Bulls On Parade,Rage Against The Machine,Evil Empire,https://open.spotify.com/track/0tZ3mElWcr74OOhKEiNz1x,
Tunak Tunak Tun,Daler Mehndi,Tunak Tunak Tun,https://open.spotify.com/track/131yybV7A3TmC34a0qE8u8,
Strong Enough,Cher,Believe,https://open.spotify.com/track/144JMbvbR5txNzoZ112wo4,
"I'll Be There for You - Theme From ""Friends""",The Rembrandts,L.P.,https://open.spotify.com/track/15tHagkk8z306XkyOHqiip,
Na Krzywy Ryj,Elektryczne Gitary,Na Krzywy Ryj,https://open.spotify.com/track/16v0mRNizarle9W8o5ohv6,
Jerry Was A Race Car Driver,Primus,Sailing The Seas Of Cheese,https://open.spotify.com/track/19C0LKY3DCcQtuviPJNy5d,
U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,
Around My Heart - Single Version / Remastered 1992,Sandra,18 Greatest Hits,https://open.spotify.com/track/1CMxUG6qcpeXooPweR4yb4,
To tylko tango,Maanam,The Best Of Kora & Maanam Volume 1,https://open.spotify.com/track/1DBWN10FzIBxrXzetGuDUk,
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,https://open.spotify.com/track/1Eb90nmqTrxylKFhcUzW8P,
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),https://open.spotify.com/track/1FTSo4v6BOZH9QxKc3MbVM,
Ta sama chwila,Bajm,Plomien Z Nieba,https://open.spotify.com/track/1HwsyOKoHSP1VHcVC3sFhy,
Wannabe,Spice Girls,Spice,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,
No Scrubs,TLC,Fanmail,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs,
Alive,Pearl Jam,Ten,https://open.spotify.com/track/1L94M3KIu7QluZe63g64rv,
Sleep Now In the Fire,Rage Against The Machine,The Battle Of Los Angeles,https://open.spotify.com/track/1MQTmpYOZ6fcMQc56Hdo7T,
Kocham cię,Chłopcy Z Placu Broni,Krzyż,https://open.spotify.com/track/1NSuPtn0CsWa7AAS48kFiw,
