title,author,album,url,score
Kontrola Jakości,"Paluch, Szpaku",Złota Owca,https://open.spotify.com/track/3Sy8Q6qaFefag6e8MFN5aQ,
Piraci,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/3T0w9f6sdO4MGpCjiW09ko,
"Do You Really Need Me - 12"" Version",K.B. Caps,Cay Hume & His Music Productions,https://open.spotify.com/track/3T1f3sbVmolc2GuUfhQA3X,
Trapiraci,Olszakumpel,Trapiraci,https://open.spotify.com/track/3THZSu4CFq97zihAWZ8vEB,
Life on Mars? - 2016 Mix,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",https://open.spotify.com/track/3VzgllzQS6UKf1NVs5nHMR,
Szampan,sanah,Szampan,https://open.spotify.com/track/3YO5XA7Bdi2qDHNVmVfLLW,
August,Intelligency,August,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII,
Kwiat polskiej młodzieży,"Bedoes, Kubi Producent",Kwiat polskiej młodzieży,https://open.spotify.com/track/3ahSusuNNyMrnPK7CYwMn6,
Bogini Seksu,Bobi,Bogini Seksu,https://open.spotify.com/track/3aiW8GvHITBsbGkQgTTFAX,
Ile kosztujesz?,"Karramba, Domi & 4Real",Vatos locos klan,https://open.spotify.com/track/3cQbaWFJ5A55FOCs6kIAU5,
Janosik,"Bedoes, Kubi Producent, GOLEC UORKIESTRA",Kwiat polskiej młodzieży,https://open.spotify.com/track/3cvRpuLZT1c7pzuEVwDrUI,
Лучший друг,"Sasha Chest, Timati",Лучший друг,https://open.spotify.com/track/3e0VzAVqqBVJQ7XuuAIc15,
"thank u, next",Ariana Grande,"thank u, next",https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,
Nieboskłon,Męskie Granie Orkiestra 2017,Nieboskłon (Radio Edit),https://open.spotify.com/track/3fVVQL2ToXDub0eVI9jUtx,
Modern Love - Single Version; 2014 Remaster,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",https://open.spotify.com/track/3h3anQgKuRoMb8gQsfSJVY,
Super Freak,Rick James,Gay Anthems,https://open.spotify.com/track/3hIEEF6Kn16cjfPKflHkx1,
Astronomia,"Vicetone, Tony Igy",Astronomia,https://open.spotify.com/track/3hWfKBt3n7j1xqIy6LA5ve,
Pola ar,Łąki Łan,Syntonia,https://open.spotify.com/track/3k8bE3AG56IQAuPoQNachg,
Hit the Road Jack,Ray Charles,Best of Rock 'n' Roll & Jukebox Music: 100 Greatest Hits from the 50s & 60s,https://open.spotify.com/track/3mERWdzRFDdQL4si3tS0dh,
Tiruriru,MŁODY DZBAN,Tryptyk Sobotni,https://open.spotify.com/track/3mtjUbuazXYzmHmapkC76K,
Alphabet Challenge,Donguralesko,Alphabet Challenge,https://open.spotify.com/track/3oJg7dFXub6apRfCWxvM6s,
RS7,Reto,BOA,https://open.spotify.com/track/3t8zP8zsZmghSVhHscpbmD,
Ramię w ramię jak spartanie,Put-In,Ramię w ramię jak spartanie,https://open.spotify.com/track/3tP34FxHNfOw8Pc418idEo,
Najebany to do domu,Bracia Figo Fagot,Disco polo (Edycja specjalna),https://open.spotify.com/track/3tiMKf5naSBSYsPccvg3Rx,
MUFASA,Malik Montana,Tijara,https://open.spotify.com/track/3tyEmc9HLolucPN1gGL0vL,
VHS,PRO8L3M,PRO8L3M,https://open.spotify.com/track/3vwEmWWaDFvdLKLPQ2Cxa2,
Makijaż,PRO8L3M,Hack3d by GH05T 2.0 EP,https://open.spotify.com/track/3x0By1u4g5UM5BaBrrAF78,
DMT,Żabson,To ziomal,https://open.spotify.com/track/3yGmWw3t0cRIzC7XmEso7s,
Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway","Soma 0,5 mg",https://open.spotify.com/track/3yI9jZu5AE7y7kUCqfBhCA,
Destiny,Groovebusterz,First Step,https://open.spotify.com/track/3yrKPRvRIDknR8VKrAjYCA,
Lady (Hear Me Tonight),Modjo,"Vintage Ibiza Classics, Vol. 1",https://open.spotify.com/track/3zl2GidKTBuQXKjtqX7dwP,
Bułgarskie Centrum Hujo**,Pidżama Porno,Bułgarskie centrum,https://open.spotify.com/track/41WEPImi2i95nTM2uNUTNo,
Poka Fejs,"Kaz Bałagane, Amen Pacierzu",Radio Gruz,https://open.spotify.com/track/41vtgZOSBKWWyu1gMkYI1r,
Love Spy - Radio Edit,Mike Mareen,The Best Of,https://open.spotify.com/track/42Qkq0VudeBF17F7gDBTdZ,
All Day Everyday (Łee),Kaz Bałagane,Narkopop,https://open.spotify.com/track/42Y5pqnu8iQMPuyJUgbBKx,
LASSIE WRÓC,Malik Montana,Tijara,https://open.spotify.com/track/44pS59IyCLUjN9GYEXKiWs,
Co mi Panie dasz,Bajm,Best Of (1978- 2018),https://open.spotify.com/track/45ghTMKvWtMCX9tHJCT1Zo,
Bailar (feat. Elvis Crespo) - Radio Edit,"Deorro, Elvis Crespo",Bailar (feat. Elvis Crespo) [Radio Edit],https://open.spotify.com/track/45sGyAtAxD6efaN0bJAFgh,
