title,author,album,url,score
Impreza skończyła się,"Młodszy Brat, Penis Solo",Młodsze Flow Mixtape,https://open.spotify.com/track/6P7Mx1n7AyQd8quukSW1fD,
Down Under,Men At Work,80s 100 Hits,https://open.spotify.com/track/6PzjPyxyy7asBmcCN9AU97,
Strzelby z Brixton (The Clash),The Analogs,Pełnoletnia Oi! Młodzież,https://open.spotify.com/track/6QBcLy2dzOnGrzsTVVRQ7q,
I Fink U Freeky,Die Antwoord,Ten$ion,https://open.spotify.com/track/6QWpolEawxnSNfYOmYFG0M,
Dancing With A Stranger (with Normani),"Sam Smith, Normani",Dancing With A Stranger (with Normani),https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,
Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),https://open.spotify.com/track/6REbwUNlppTfcnV4d4ZoZi,
You Need To Calm Down,Taylor Swift,Lover,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,
Ale Wkoło Jest Wesoło,Perfect,Perfect,https://open.spotify.com/track/6SGkgm9OEhK898PeaxLViI,
Sextasy,East Clubbers,Never Enough,https://open.spotify.com/track/6T1DBhZeYt3krVzC9Gw5yo,
Gdy Nie Ma Ciebie,Jacek Stachursky,2k19,https://open.spotify.com/track/6TXPi3O5t2F5Yyc5OBOk99,
Ja I Moje Bongo,MŁODY DZBAN,"Ale się zjarałem, oto czajnik",https://open.spotify.com/track/6UgVYgm3bFNr0zWzsSTX6L,
Na jednej z dzikich plaż,Rotary,"Najlepsze Hity Dla Ciebie Polskie, Vol. 2",https://open.spotify.com/track/6UiAAJePV26xujfLVOGlkp,
Bangarang (feat. Sirah),"Skrillex, Sirah",Bangarang EP,https://open.spotify.com/track/6VRhkROS2SZHGlp0pxndbJ,
Nie Wal Z Dychy,Kaz Bałagane,Chleb i Miód,https://open.spotify.com/track/6XQMboRy4KBhOmRq7uokaR,
Banana Brain,Die Antwoord,Mount Ninji and da Nice Time Kid,https://open.spotify.com/track/6XSEz4r6cUwOZgWvE51zDT,
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",DUELE EL CORAZON (feat. Wisin),https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,
Pupy,Łobuzy,Pupy,https://open.spotify.com/track/6YgsdKD4eX3M2qWgdH4Rl8,
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),https://open.spotify.com/track/6Z8R6UsFuGXGtiIxiD8ISb,
Gdzie jest biały węgorz ? (Zejście),Cypis,Gdzie jest biały węgorz ? (Zejście),https://open.spotify.com/track/6ZKCcRjkXXUk67OfqS2fJT,
Agnieszka już dawno...,Łzy,W związku z samotnością,https://open.spotify.com/track/6a7ozKIdGCXlVQwF8TJ2PW,
Nowy Kolor feat. Taco Hemingway,"Otsochodzi, Taco Hemingway",Nowy Kolor,https://open.spotify.com/track/6aNkqtxWpCbP6fwMuscKEU,
Dancing On My Own,Robyn,Body Talk,https://open.spotify.com/track/6aqNCrRA7vs7v6QvRpI50t,
"Piwo, piwo pij","A'Vista, Dariusz Mol",Biesiada z procentem (No to siup!),https://open.spotify.com/track/6bfJMlrM6JOMynvbJCm9O8,
Djengi,"Borixon, Malik Montana",Mołotow,https://open.spotify.com/track/6c4yXu8FQQ8OIfezACOPA0,
Niewiele Ci Mogę Dać,Perfect,Perfect,https://open.spotify.com/track/6dcudkZz9XlmfPw0ZHREU1,
Bonkers,"Dizzee Rascal, Armand Van Helden",Tongue N' Cheek (Dirtee Deluxe Edition),https://open.spotify.com/track/6ddQ5KCkvCggk3j6KdA0zL,
Da Coconut Nut,"Ryan Cayabyab, Jacob Mandell, James Isley, Messiah College Chamber Singers, Linda L. Tedford",Music Down in My Soul,https://open.spotify.com/track/6fvpQwGsVNDQ0dsw0qViY1,
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,
Trzy życzenia,"Młodszy Brat, Bajpas Tan",Młodsze Flow Mixtape,https://open.spotify.com/track/6gT2YjU9U1RvUzVaS9Rtt2,
How old are you,Miko Mission,Disco Music,https://open.spotify.com/track/6hJHHOcgca3bZJsqPtg2og,
Morskie Opowieści,Piosenki Szantowe,Szanty: Sailing Songs,https://open.spotify.com/track/6hJXgsa2Wy08Upx0MyEEE4,
Despacito,"Luis Fonsi, Daddy Yankee",VIDA,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,
Świat nie wierzy łzom,Janusz Laskowski,Być razem blisko,https://open.spotify.com/track/6hoH7qgEZQjY5TmF4Oi2yX,
Heathens,Twenty One Pilots,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,
BOOM,"Tiësto, Sevenn, Gucci Mane",BOOM,https://open.spotify.com/track/6iC7vapdKp0XlKhxOkp8QJ,
Obława,Jacek Kaczmarski,"Encore, jeszcze raz",https://open.spotify.com/track/6id4ccDCGROXoJWm8KgHjX,
Green Light,Lorde,Melodrama,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb,
"Count on Me - 12"" Version",T.ark,The Collection,https://open.spotify.com/track/6iqOJ9hYUXjVpFqzvXQIbq,
Kosmita - SecretiveSuicide x LOAA Remix,"Gedz, SecretiveSuicide, LOAA",Kosmita (SecretiveSuicide x LOAA Remix),https://open.spotify.com/track/6ky7elygdqdJSdSOsChFHA,
Tańcz Głupia Tańcz,Lady Pank,Lady Pank Symfonicznie,https://open.spotify.com/track/6ldQ12qRT1pHwKrBlOsdcm,
Chantaje (feat. Maluma),"Shakira, Maluma",El Dorado,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,
Do następnego,"Kaz Bałagane, Belmondo",Źródło LP,https://open.spotify.com/track/6mtwsYUYiqozNBhnwuhMSO,
XD,Rzabka,Kochany Wariat,https://open.spotify.com/track/6mvmBZ7MTUE7C7XvZFlW1H,
Zostanmy Razem,Jacek Stachursky,1999 (Remastered),https://open.spotify.com/track/6n3RGfz9gh8ynHnk86sEqH,
Medycyna Alternatywna,MŁODY DZBAN,Medycyna Alternatywna,https://open.spotify.com/track/6nHeKUaXndwOaojgcPI0JQ,
Paradise,Coldplay,Mylo Xyloto,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,
Malcziki,"Yugoton, Kazik",Yugoton,https://open.spotify.com/track/6nhEv1y5OboIWD8gtTVijB,
Can't Fight This Feeling,"Junior Caldera, Sophie Ellis-Bextor",Debut (Gold Edition),https://open.spotify.com/track/6oazZ0KQBdOPj9mWtrP907,
Valhalla (feat. Djemba Djemba),"RL Grime, Djemba Djemba",VOID,https://open.spotify.com/track/6ok2GhsEqnJEDNrb01gCYc,
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k,
Pan Tik-Tak - Wstęp,Zespół Dziecięcy Fasolki,Piosenki pana Tik-Taka,https://open.spotify.com/track/6prz9gZ7XmZPSbPzhZMX0x,
I Need A Dollar,Aloe Blacc,Good Things,https://open.spotify.com/track/6q1qACcezH6eH77Xljh5QV,
Przez Twe Oczy Zielone,Akcent,Przez Twe Oczy Zielone,https://open.spotify.com/track/6q5FIPaFNs5XLvKLKfSdnT,
Things We Lost In The Fire,Bastille,All This Bad Blood,https://open.spotify.com/track/6qOxF7JKKNegcuocn14ukr,
No One Knows,Queens of the Stone Age,Runtastic - Power Workout (Vol. 1),https://open.spotify.com/track/6qS04no9s93xryizOrZ4ru,
Who's That Chick? (feat. Rihanna),David Guetta,One More Love,https://open.spotify.com/track/6qUSs4FDzZUdAhY6JDIJfa,
We Found Love,"Rihanna, Calvin Harris",Talk That Talk,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,
Popcorn Funk,Monstaz.,Popcorn Funk,https://open.spotify.com/track/6rGIDJCZK6insoRwKjwsUp,
Jestem Stąd Jestem Sobą,"Donatan, Miuosh, Pelson, Ero, Małpa",Równonoc Słowiańska Dusza,https://open.spotify.com/track/6rd6EaFzcP9TALgfc3GuYk,
1 Moment feat. Buka,"K2, Buka",Anatomia,https://open.spotify.com/track/6rp6vpDBJHE4gKucl8V1w2,
YoMenik,"Belmondo, GSP, YoMenik",Uhqqow,https://open.spotify.com/track/6ruyHG9zF39gBxS0ykW6VA,
Granda,Brodka,Granda,https://open.spotify.com/track/6sQCEPC8thjfDokBA1TeMn,
Bigotka,Mery Spolsky,Dekalog Spolsky,https://open.spotify.com/track/6skXXfGtjKPK2RTMOiThHk,
Wypłyniemy Dziś,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/6tJz0Lw4pAq7BOBvAawYxS,
California Gurls,"Katy Perry, Snoop Dogg",Katy Perry - Teenage Dream: The Complete Confection,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,
Narkotik Kal,Hard Bass School,The Album (Mixed),https://open.spotify.com/track/6teQORVSc9h94ldfTPXOML,
PELIKAN,Malik Montana,Tijara,https://open.spotify.com/track/6uS9OyHTocVw5sntlMrd3R,
Rzeźnia,Rzabka,Ravers Padaka,https://open.spotify.com/track/6vWPVRrVMTCOVtHjY5NYQQ,
Toast,PRO8L3M,PRO8L3M,https://open.spotify.com/track/6vzcDtdBXfcyLaBUyAw6Mw,
Hakuna Matata,"Emilian Kaminski, Krzysztof Tyniec, Pawel Tucholski, Urszula Janowska, Michal Mech",Król Lew: Najwieksze Przeboje (The Lion King - Best Of),https://open.spotify.com/track/6wiO8id0cSVCDxIehGidqI,
Kiler - 2014,Elektryczne Gitary,Stare Jak Nowe. 25 Przebojow Na 25-lecie,https://open.spotify.com/track/6wwTI407wox26wgel9Ahdx,
Pussy Money Weed,Tommy Cash,Pussy Money Weed,https://open.spotify.com/track/6xbozk9YUx4QUC7TmiPSlA,
Kim Jestem - Jestem Sobie,Jacek Stachursky,2k19,https://open.spotify.com/track/6ykmjtXrhuyXxIMZNHW3FK,
A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),https://open.spotify.com/track/6z5Yh7kOKeLjqIsNdokIpU,
Crazy is My Life - 2013,GOLEC UORKIESTRA,The Best of Golec uOrkiestra,https://open.spotify.com/track/6z8hFnL5UT7zeBLbvcFOYo,
Sexy And I Know It,LMFAO,Sorry For Party Rocking,https://open.spotify.com/track/70Vdd1gx5tn84jkAU31ASv,
Ex's & Oh's,Elle King,Love Stuff,https://open.spotify.com/track/70eDxAyAraNTiD6lx2ZEnH,
Explosion (Theo Radio Mix),Kalwi & Remi,Explosion (Theo Radio Mix),https://open.spotify.com/track/71HLzQbrHD4wndsdyxq92Y,
Reprezentuję biedę,"Peja, Slums Attack, Dj Decks",20/20 Evergreen,https://open.spotify.com/track/72D6iInqYOupF3XEKLp8AU,
Hello (Radio Edit),"Martin Solveig, Dragonette",Hello,https://open.spotify.com/track/73TCSu9lIBosJX5QpL6T2n,
Nie Płacz Ewka,Perfect,Perfect,https://open.spotify.com/track/73YaDW2z8ZXgDvJUoQg9Bm,
12 Groszy,Kazik,12 groszy,https://open.spotify.com/track/75STcWAoHOzuzufByGNJRS,
Tańcz tańcz tańcz - Radio Edit,Long & Junior,Tańcz tańcz tańcz (Radio Edit),https://open.spotify.com/track/75TfM4bQZWC1jyBIp9IAJq,
Man of Simple Pleasures,Kasabian,Velociraptor!,https://open.spotify.com/track/761aoM98PrwmgcqwnoPqr0,
Sexualna,"Mirami, Vova Zi L'vova",Miramimania,https://open.spotify.com/track/762EDd3aDSHXaOmtuJCHUQ,
Into You,Ariana Grande,Dangerous Woman,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe,
Punk Fu!,Daria Zawiałow,Helsinki,https://open.spotify.com/track/77CdmLyI4X3aMaIM8tDfAh,
Kiedy byłem małym chłopcem,Breakout,60 Lat Polskich Nagran,https://open.spotify.com/track/77Q56Fz8eMu3p8pztTJTc2,
Małomiasteczkowy,Dawid Podsiadło,Malomiasteczkowy,https://open.spotify.com/track/77vLpSAMNzeYL4EBeZxWqI,
Za nim był kwit,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/786MB3kFjzrLGR20lWlSng,
Jest jedna rzecz,"Albo Inaczej, Zbigniew Wodecki, Peja",Albo inaczej,https://open.spotify.com/track/793Fj776XOFqTEuunNkWwm,
Skiety & Klapki - Skiety & Klapki,"Kabe, Kizo",Skiety & Klapki,https://open.spotify.com/track/79cyY33irbHnS93VEmzJCX,
Magnitude,Грязный Рамирес,Magnitude,https://open.spotify.com/track/7ABZa96daEFjRUnJrtoKKs,
We'll Be Coming Back (feat. Example),"Calvin Harris, Example",18 Months,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu,
Die Young,Kesha,Warrior (Expanded Edition),https://open.spotify.com/track/7EQGXaVSyEDsCWKmUcfpLk,
Kto Dogoni Psa,Mleko,Ogólne Tematy,https://open.spotify.com/track/7EYHvg0z6HxwMipxXwwuYu,
Happy World,Ranko,Italo Disco Collection Vol. 4,https://open.spotify.com/track/7EaLeoR3SBg6OTrdfyNNKl,
Najlepiej w głowie mieć szum,"A'Vista, Dariusz Mol",Biesiada z procentem (No to siup!),https://open.spotify.com/track/7FG9FhZQYRZ8sLfi2kvlgA,
Perspektiva,S.A.R.S.,10,https://open.spotify.com/track/7FKUc1mFraEOl4k6sdcwfb,
"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",Céline Dion,"Ashes (from ""Deadpool 2"" Motion Picture Soundtrack)",https://open.spotify.com/track/7FihoA0WgTT21DkWR7wbYR,
