title,author,album,url,score
Counting Stars,OneRepublic,Native,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,
Plecak,Young Multi,Nowa Fala,https://open.spotify.com/track/2uPsZRIK1gZkvKv3RSFEAr,
Error,Natalia Nykiel,Error,https://open.spotify.com/track/2vPmb6Yx5nc2tBPQGb5yOW,
Policję należy pierdolić,MŁODY DZBAN,Policję należy pierdolić,https://open.spotify.com/track/2vVH1K10iIntagm5sSk9Gr,
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,
Tamta dziewczyna,Sylwia Grzeszczak,Tamta dziewczyna,https://open.spotify.com/track/2vzIFB8Fm37EvUUTATSYm6,
Lewandowski,"Diho, Cooks",Orangutan Vol. 07,https://open.spotify.com/track/2xvWpLeeIIpR9gUbxXewE2,
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Europop,https://open.spotify.com/track/2yAVzRiEQooPEJ9SYx11L3,
Napad na bankiet,"Sokół, PRO8L3M, Steez83, Taco Hemingway",Wojtek Sokół,https://open.spotify.com/track/2yVGgYMwdNIcEdEiUzFUYc,
Sprytny Eskimos,"Sokół, Igo",Wojtek Sokół,https://open.spotify.com/track/2yj0P7F6dt0rhV1jFk1CqR,
Dubai,LMEN PRALA,Dubai,https://open.spotify.com/track/2z8zJxp4vNItzPgW6Nkwbt,
Ragga Bomb,Skrillex,Recess,https://open.spotify.com/track/2zBXZY8lvzzmtzm07uImXc,
"Cantina Band - From ""Star Wars: A New Hope""","London Voices, London Symphony Orchestra, John Williams, New London Children's Choir",Star Wars Sampler,https://open.spotify.com/track/2zF7IDI6UsLXpwl3FjukPS,
Ukryty w mieście krzyk [Projekt Tymczasem],Żabson,Ukryty w mieście krzyk [Projekt Tymczasem],https://open.spotify.com/track/2zutTvk8Z15BxwdPSHwlOj,
Born This Way,Lady Gaga,Born This Way (International Special Edition Version),https://open.spotify.com/track/30XU4suKzCeoCK9YFzdufg,
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,
