title,author,album,url,score
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,
Back In Black,AC/DC,Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,
No Woman No Cry,Bob Marley & The Wailers,Legend (Deluxe Edition),https://open.spotify.com/track/0Anb7B9hNq5yXUAy4DBLLU,
Rock Me Amadeus - The Gold Mix,Falco,Falco 3,https://open.spotify.com/track/0DfG1ltJnZyq4Tx3ZLL7ZU,
Part-Time Lover,Stevie Wonder,In Square Circle,https://open.spotify.com/track/0Dm43YLUlGdePpSbI1ct8h,
Nie Poganiaj Mnie Bo Tracę Oddech - 2011 Remaster,Maanam,O! [2011 Remaster],https://open.spotify.com/track/0ECGOpzz0JKno4wjTWCui8,
Owner of a Lonely Heart,Yes,90125 (Deluxe Version),https://open.spotify.com/track/0GTK6TesV108Jj5D3MHsYb,
Locomotion,Kylie Minogue,The Loco-Motion,https://open.spotify.com/track/0Perbjux3gxagOCJo64dlq,
Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),https://open.spotify.com/track/0QKfiqpEU4h9ycPSzIFwYe,
Smoke on the Water,Deep Purple,Deepest Purple: The Very Best of Deep Purple,https://open.spotify.com/track/0XHWClSz0v6RIaRSGqJH3X,
Gold - 2003 Remaster,Spandau Ballet,True (Special Edition),https://open.spotify.com/track/0Z9UkcT1pnrmLciUJPcMMS,
"You're My Heart, You're My Soul",Modern Talking,The First & Second Album (30th Anniversary Edition),https://open.spotify.com/track/0Zn63G0XTiqXwr1KSmARWz,
Heart Of Glass - Special Mix,Blondie,Best Of Blondie,https://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM,
I'm Coming Out,Diana Ross,Diana,https://open.spotify.com/track/0ew27xRdxSexrWbODuLfeE,
Too Drunk to Fuck,Dead Kennedys,Give Me Convenience or Give Me Death,https://open.spotify.com/track/0gJ4X2ojTykeaoDEDEE1Xj,
Wake Me Up Before You Go-Go,Wham!,Make It Big,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c,
Just Can't Get Enough,Depeche Mode,Speak And Spell (Deluxe),https://open.spotify.com/track/0qi4b1l0eT3jpzeNHeFXDT,
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,https://open.spotify.com/track/0rmGAIH9LNJewFw7nKzZnc,
True - 2003 Remaster,Spandau Ballet,True (Special Edition),https://open.spotify.com/track/10I09MLZCY4pK37XxAfkw0,
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb,
Act Like You Know,Fat Larry's Band,Breakin' Out,https://open.spotify.com/track/1AOacbO5iSMxrGMihq9QDA,
You Spin Me Round (Like a Record),Dead Or Alive,Evolution: The Hits,https://open.spotify.com/track/1ChulFMnwxoD74Me8eX2TU,
