title,author,album,url,score
Piercing Light,"League of Legends, Mako",Warsongs,https://open.spotify.com/track/0163ud7I4Vb0ID5K7WBkq9,
Break My Heart,Dua Lipa,Future Nostalgia,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,
Ramię W Ramię,"Viki Gabor, Kayah",Ramię W Ramię,https://open.spotify.com/track/02RqhFaAYzWScfVzKfTZ7L,
MOOO!,Doja Cat,Amala (Deluxe Version),https://open.spotify.com/track/043dDJ9u0PQ3ooAXMgcwOe,
MMMBop,Hanson,90s Mixtape,https://open.spotify.com/track/05Pu1knSGYlsRWTNB1swXw,
Magenta (prod. Auer),Pezet,Muzyka współczesna,https://open.spotify.com/track/07Agqdd4SD83JRgN19OjdW,
Hot Dog,Bracia Figo Fagot,Na bogatości,https://open.spotify.com/track/07aWHiaZCdHWAPKzBuocCk,
Doskozzza,Jacek Stachursky,2k19,https://open.spotify.com/track/07gndbI3ueJQ18Fv6ihl4T,
Lets Dance Tonight,David Gray,Italo Disco,https://open.spotify.com/track/07gwXgmMDlzAhh5lM2BeGZ,
robale,chillwagon,robale,https://open.spotify.com/track/07hYj53CQVToLjnbkIIeT8,
Grenlandia,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/0AmXmM3aSaG3VGleoUtKVc,
Rebel Rebel - 2014 Remaster,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",https://open.spotify.com/track/0BM4xE3z8cN5AakEhIL3Mm,
Bożenka,Bracia Figo Fagot,Na bogatości,https://open.spotify.com/track/0BrKMoCMk9pTGG5biM3Unx,
In My Mind,"Dynoro, Gigi D'Agostino",In My Mind,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,
Gdzie się podziały tamte prywatki,Wojciech Gassowski,60 Lat Polskich Nagran,https://open.spotify.com/track/0GAayTixtFa1ntUEXfOA2c,
2 Bajki,Virgin,CHONI,https://open.spotify.com/track/0GJV3MQHQrVBRKPzLiHU0p,
Piosenka księżycowa,Varius Manx,Najlepsze Hity Dla Ciebie - Songs For Sex,https://open.spotify.com/track/0GQ16A1dEOsUL1rbf1o3Ew,
Wywalone,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/0Iv9xGNfX7ygGBkOrnK68X,
Wataha,Męskie Granie Orkiestra,Wataha,https://open.spotify.com/track/0JD4U7FeIirQ6RkOyV6NxN,
Jagodzianki,"Malik Montana, Mr. Polska",Import / Export,https://open.spotify.com/track/0LgdOeB2FXEWsDfZefvrkW,
Mirage,Scotch,Pictures Old Days (Deluxe Edition),https://open.spotify.com/track/0M2A5PBGMk0x0M2lrCZGsO,
Portowe Dziewczęta,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/0N2881IiJmuMrr9JENZ8f2,
Fitness,"Kizo, Trill Pem",Fitness,https://open.spotify.com/track/0NKAurJjAVHkLQ9AoekWSo,
Moje Serce,Jacek Stachursky,2k19,https://open.spotify.com/track/0Sl0UP8XISVXHOT10yhG8T,
Señorita,"Shawn Mendes, Camila Cabello",Señorita,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,
Blinding Lights,The Weeknd,After Hours,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,
Dementor,"Filipek, Tymek",Dementor,https://open.spotify.com/track/0WpRw9tDKw4wzKQm2j7ai7,
POLICJA,"Karel Goldbaum, Klocuch, Mefedronowy Baron",Karel Goldbaum Type Beat,https://open.spotify.com/track/0Xp2ksykAHwmU14apUNEwr,
Zimna Lufa - DENN Club Mix Radio Edit,"Jacek Stachursky, DENN",Zimna Lufa,https://open.spotify.com/track/0Ydw4UQ3Yh1v5uscspsjoe,
Sobie i Wam,"Męskie Granie Orkiestra 2019, Nosowska, Igo, Organek, Krzysztof Zalewski",Sobie i Wam,https://open.spotify.com/track/0YzTIFEIUkZofXozAQWvGv,
Tarantula,"Alcomindz, Koldi, Kluchu, Jaco",On a Mission,https://open.spotify.com/track/0ZUJh2JOFFIUaO54X3qhCi,
Doktor,"Sowa, Młodszy Brat",Doktor,https://open.spotify.com/track/0ZkbovUGGHUzLYFmxfWlAK,
Liryczna chłosta (prod. Verba),"Gimpson, MC Sobieski",Niepowstrzymany,https://open.spotify.com/track/0a49BINotQha8D5j97wATD,
Galway Girl,Ed Sheeran,÷ (Deluxe),https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,
This Is What You Came For (feat. Rihanna),"Calvin Harris, Rihanna",This Is What You Came For (feat. Rihanna),https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,
Opowieści z Doliny Smoków,"Bedoes, Lanek",Opowieści z Doliny Smoków,https://open.spotify.com/track/0biUEKHyKAPBDLcrjCUFsu,
WHO YOU MAM,Malik Montana,Tijara,https://open.spotify.com/track/0dkYZn7R79GpSgyV2u64Dk,
Szaman,Paluch,Ostatni Krzyk Osiedla,https://open.spotify.com/track/0efg1XQEkIk60cfAYEmkCV,
Nagapiłem się,"Pezet, Małolat, The Returners, Malpa",Dziś w moim mieście (Reedycja),https://open.spotify.com/track/0fNX8b16FYHJzHL0gDMNvV,
Potlacz,"Bisz, Radex",Wilczy humor,https://open.spotify.com/track/0fRbEn18aOuhoDgTjWazKx,
Chanson De Geste,"Kaz Bałagane, APmg",Polska Gotówkowa,https://open.spotify.com/track/0hpSYvnidyRC8AZ2hi8fY7,
Wóda zryje banię,Bracia Figo Fagot,Eleganckie chłopaki,https://open.spotify.com/track/0iS2ApRb8VT28CqKbuS7sW,
Odkryjemy miłość nieznaną,Alicja Majewska,60 Lat Polskich Nagran,https://open.spotify.com/track/0iSetRSqLHoKRHpts680E7,
Bliżej - Miasto Muzyka,"Beata Kozidrak, Duit",Bliżej (Miasto Muzyka),https://open.spotify.com/track/0jA9ooo0BSySfFrxSnF9KW,
Mordziaty,Kaz Bałagane,Radio Gruz,https://open.spotify.com/track/0jtHt5cHg1h9n0IjskX50C,
Juice,Lizzo,Cuz I Love You,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl,
Co Ty Mi Możesz,Kaz Bałagane,Co Ty Mi Możesz,https://open.spotify.com/track/0kKM5rHwsWrujFtaXCJUcf,
Fejk,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/0thr8u5nnL6QQiOl1br4aN,
Tonight,Ken Laszlo,The Best of Ken Laszlo,https://open.spotify.com/track/0u4IYwUbmgn2YASsBmouFR,
A nie pamiętasz jak?,"SB Maffija, Mata, White 2115, Jan-Rapowanie, Janusz Walczuk, Kacperczyk, Beteo",Hotel Maffija,https://open.spotify.com/track/0vF7lhodVL9PA4DAR1Byxm,
Oszustki,"Red, Kaen, Kaz Bałagane",Kaen Prezentuje Alterego TeamTape,https://open.spotify.com/track/0wabBTD0wkOI4Jz7oWntAB,
Ona Goa,MŁODY DZBAN,Ona Goa,https://open.spotify.com/track/0wbwyFAViFvDvMD7dBLNfG,
Delfin,"Bedoes, Kubi Producent, Koldi, Young Multi, Beteo",Kwiat polskiej młodzieży,https://open.spotify.com/track/0xoUDiOLXqp9qB3S9FkvUI,
Sorry Dolores,"Reto, Quebonafide",BOA,https://open.spotify.com/track/0yd4OCmrcqvsAMUJGCMEFQ,
Prosciutto Crudo,Kaz Bałagane,Narkopop,https://open.spotify.com/track/0ywhZ10pRmDgBsv4bP37re,
Sezam,Don Poldon,Vagabundus,https://open.spotify.com/track/0zGGmPcudReo9hGSItcWyF,
5 минут назад,"PHARAOH, Boulevard Depo",Плакшери,https://open.spotify.com/track/10pXYKoJOxNAWkeGkNeNnH,
Trendsetter,Kaz Bałagane,Narkopop,https://open.spotify.com/track/11faTHLmwOoXzGw4uuZJww,
Krzyż,Olszakumpel,Krzyż,https://open.spotify.com/track/121Ji6gCxbmtKpkxngevlL,
Малый повзрослел,Max Korzh,"Малый повзрослел, Ч. 1",https://open.spotify.com/track/14JceK2UBLd0UUm23N5lRy,
Niegrzeczna,"Pezet, Wdowa",Muzyka rozrywkowa,https://open.spotify.com/track/15WuIOw8omfaTEQjVyuUQz,
Freefall,Jeckyll & Hyde,The Album,https://open.spotify.com/track/17Ph3lPJTrq5t7esgouyFv,
FALA,"Guzior, Oskar83",FALA,https://open.spotify.com/track/191yHIyhUqBpU2VYNFVbID,
INTERNET.WAV,Żabson,INTERNET.WAV,https://open.spotify.com/track/19R3TPq2ZzMiSQkq30RwGS,
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",Layers,https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ,
Diss Na Szatana,Młodszy Brat,Diss Na Szatana,https://open.spotify.com/track/1BeYJPEpNOYDYnOtoT0GVh,
Zaczekaj przed drzwiami,"Jan-Rapowanie, Nocny",Zaczekaj przed drzwiami,https://open.spotify.com/track/1CEFvXXeClHj6syBWO5KQb,
Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,
Mi Gente (feat. Beyoncé),"J Balvin, Willy William, Beyoncé",Mi Gente (feat. Beyoncé),https://open.spotify.com/track/1DoK3CdipMjplLk5LXUdcp,
Pies GPS,Za-No-Za,Pies GPS,https://open.spotify.com/track/1FAJPuz8V3eKJQP49tMTBq,
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",Bad and Boujee (feat. Lil Uzi Vert),https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz,
On The Move - Radio Edit,Barthezz,Best Dance Hits Ever Top 50 Volume 2,https://open.spotify.com/track/1ICVk8T4l8Ha1sojOUmqFM,
