title,author,album,url,score
Mr. Brightside,The Killers,Hot Fuss,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,
Maj,Varius Manx,Eta,https://open.spotify.com/track/008UO76dicJJrUb5g6WID0,
Sk8er Boi,Avril Lavigne,Let Go,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,
Paparazzi,Lady Gaga,The Fame,https://open.spotify.com/track/02XnQdf7sipaKBBHixz3Zp,
"Gdzie Ten, Ktory Powie Mi",Brathanki,Gwiazdy XX Wieku,https://open.spotify.com/track/05JJTD8KdxbZsMnOn6imMv,
Pędzą Konie,GOLEC UORKIESTRA,Golec uOrkiestra 3,https://open.spotify.com/track/063ZobFSzYA0O7fmfi4oik,
I Wanna Sex You Up,Color Me Badd,Rhino Hi-Five: Color Me Badd,https://open.spotify.com/track/07efOAoPwcRdd4W6gi8BRF,
Get Down,DJ Magic vs Max Farenthide,Get Down,https://open.spotify.com/track/08qWHa5r7GPhsiWlvvdgsd,
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,
Pieniądze to nie wszystko,GOLEC UORKIESTRA,Golec uOrkiestra 2,https://open.spotify.com/track/0C4k2tOswG0l8VVIKv1b4V,
I'm A Believer,Smash Mouth,Smash Mouth,https://open.spotify.com/track/0C9jZPUv4SuaXkuEQw6L40,
Low (feat. T-Pain),"Flo Rida, T-Pain",Mail on Sunday,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,
It's Like That,"Run–D.M.C., Jason Nevins",The Greatest Hits,https://open.spotify.com/track/0CtkjgZpkgnW7U6WmHsakD,
Urke,Wilki,4,https://open.spotify.com/track/0DXi34kEIXj6YPxrEfsFa7,
One More Time,Daft Punk,Discovery,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV,
Czterdziestolatek,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/0E63PYpowNopmoDyT7YIBp,
Czerwone Korale,Brathanki,Gwiazdy XX Wieku,https://open.spotify.com/track/0ETkRDuyDSI06f5qo5KkxU,
B.Y.O.B.,System Of A Down,Mezmerize,https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md,
Maszynka do świerkania,Czesław Śpiewa,Debiut,https://open.spotify.com/track/0Eos8DjtN7nC1p4xvcQEaL,
That's Not My Name,The Ting Tings,We Started Nothing,https://open.spotify.com/track/0GrrLYCH8u81aENhC8FBF4,
Ms. Jackson,Outkast,Stankonia,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,
Pokolenie,Kombii,C.D.,https://open.spotify.com/track/0KvWatgAJoo6FcPEztFyk5,
Fire,Kasabian,West Ryder Pauper Lunatic Asylum,https://open.spotify.com/track/0Ln5tJyLX5qusquBOtq7wf,
Baila Morena - New Spanish Version,Zucchero,Shake,https://open.spotify.com/track/0M2YkvoDWKgEvLaCmdH3Gv,
Antidotum,Kasia Kowalska,Antidotum,https://open.spotify.com/track/0MYaObalRrtwv5IGgrsrtA,
Straight To The Bank,50 Cent,Curtis,https://open.spotify.com/track/0Mycps3zl2az8oFUZxU2kD,
Nobody...,Kasia Kowalska,5,https://open.spotify.com/track/0NzcSOpl1pwHKHes6BWv2l,
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,https://open.spotify.com/track/0O45fw2L5vsWpdsOdXwNAR,
Zrobie z was mezczyzn,"MacIej Moleda, Chór Meski",Mulan Original Soundtrack,https://open.spotify.com/track/0OVGOQIm3nefxRUxsZrSQ1,
Rock This Party - Everybody Dance Now,"Bob Sinclar, Cutee B., DollarMan, Big Ali, Makedah",Rock This Party (Everybody Dance Now),https://open.spotify.com/track/0Qn0i8df7Q76ej3RAXAtI2,
Przepijemy naszej babci,"Justyna Bechcicka, Piotr Bechcicki",Biesiada piwna,https://open.spotify.com/track/0S51zoeJBHNO9D9YnJZTZE,
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,
Bleed It Out,Linkin Park,Minutes to Midnight,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA,
Hole In The Head,Sugababes,Three,https://open.spotify.com/track/0UODoSWbhBQyUhzL10D03d,
Bo z dziewczynami,Jerzy Połomski,Nie zapomnisz nigdy (The Best),https://open.spotify.com/track/0UPMadonZKMZPdPq3GzIiU,
Rasputin,Turisas,Rasputin,https://open.spotify.com/track/0W43LnKXzRivi0WPaoBLVO,
Synku jestem w budynku,"Donguralesko, Matheo",Inwazja porywaczy ciał,https://open.spotify.com/track/0WC7tJZ3uNl2BeO8gUl9I6,
Everybody Get Up - Radio Edit,Five,Let's Dance,https://open.spotify.com/track/0WGn8xhpPumX73lECUY5Yo,
Kobiety Są Gorące,Norbi,Największe Przeboje,https://open.spotify.com/track/0WlgysoQGR4AUt8z5fZz9z,
Here I Go Again - Radio Version,Mandaryna,Here I Go Again,https://open.spotify.com/track/0WxlgS4PyRz9bZzuSJ91r1,
Nasze rendez-vous,Kombi,Nie ma zysku (The Best),https://open.spotify.com/track/0X5orWGcyS0iGYZTK5UBaD,
No Stress - Original Club Mix,Laurent Wolf,No Stress,https://open.spotify.com/track/0XhWtp4jMpUszn56E2ewWP,
Jump - 2004 Remaster,Van Halen,The Very Best of Van Halen (UK Release),https://open.spotify.com/track/0Z7O8GMQShj9TJrm2yX1R6,
Moskau,Dschinghis Khan,7 Leben,https://open.spotify.com/track/0cwEvwz7syhgHKXX1z4puc,
Feel Good Inc.,Gorillaz,Demon Days,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,https://open.spotify.com/track/0eqH0ALoDQevq59YcQ53KE,
Beelzeboss (The Final Showdown),Tenacious D,The Pick Of Destiny,https://open.spotify.com/track/0ffz9KBdCb7oJkSK0W7bbf,
Królowa Nocy,Akcent,Królowa Nocy,https://open.spotify.com/track/0geug0mKXXEuE0VEvoZ8kp,
Skandal im Sperrbezirk,Spider Murphy Gang,Greatest Hits,https://open.spotify.com/track/0hgbkNcWjVflyBCfgCwxwd,
Hot N Cold,Katy Perry,One Of The Boys,https://open.spotify.com/track/0iGckQFyv6svOfAbAY9aWJ,
Dschinghis Khan,Dschinghis Khan,7 Leben,https://open.spotify.com/track/0ksebE6LrZocf2L5f4N1q7,
Skamieniali feat. Teka,"Trzeci Wymiar, Teka",Cztery Pory Rapu,https://open.spotify.com/track/0mSccHjseLReybeLrNBoXj,
Zaluje (Insanity),Ewelina Flinta,Przeznaczenie,https://open.spotify.com/track/0mgPSODZnhcfWgWRl7WP2x,
Kantyczka z lotu ptaka,"Jacek Kaczmarski, Przemyslaw Gintrowski, Zbigniew Łapiński",Wojna Postu Z Karnawalem,https://open.spotify.com/track/0mqdhJMnsyJLs0XcPqfLGy,
Mein Block - Remix,"Sido, Beathoavenz",Aggro Ansage Nr. 3 X,https://open.spotify.com/track/0n0aAFwMUMuYfsHiJnIlHS,
You Don't Know,"Eminem, 50 Cent, Ca$his, Lloyd Banks",Eminem Presents The Re-Up,https://open.spotify.com/track/0nKZeSrqH9u31NLoTUsYBR,
Murder On The Dancefloor,Sophie Ellis-Bextor,Read My Lips,https://open.spotify.com/track/0ndXb2CwhrqtyHK6o6eVNd,
Sex on Fire,Kings of Leon,Only By The Night,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45,
Na dobre i na złe,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/0otFRR2naqVXonnFbdeP2u,
Better Off Alone,Alice DJ,Who Needs Guitars Anyway?,https://open.spotify.com/track/0pMUR7Uvp6vxlbG0qBFvgM,
Janosik,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/0qEg7S57UqgDfMj00KtvyW,
Toxicity,System Of A Down,Toxicity,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn,
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,Tokyo Drift (Fast & Furious),https://open.spotify.com/track/0upFohXrGxIIAjyaJmCkMU,
It's My Life,Bon Jovi,Crush,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,
Go With The Flow,Queens of the Stone Age,Songs For The Deaf,https://open.spotify.com/track/0wzRcekWyVCSyPtlPOeJau,
Mieć czy być,Myslovitz,Happiness Is Easy,https://open.spotify.com/track/0z3GnQC4I6HDNHM16Cgvj8,
My Cyganie,Krzysztof Krawczyk,My Cyganie (Krzysztof Krawczyk Antologia),https://open.spotify.com/track/0zqFMyTH1Wr4T4ZUCTVi13,
Dani California,Red Hot Chili Peppers,Stadium Arcadium,https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k,
Whisky - 2003 Digital Remaster;,"Dzem, D¯EM",Cegla,https://open.spotify.com/track/10T9LF3gLZCPRTKMyzi5ti,
Go Go Yellow Screen,Digital Emotion,Digital Emotion,https://open.spotify.com/track/12vZleR9JnHttHJcx2NJw9,
Omen,The Prodigy,Invaders Must Die,https://open.spotify.com/track/144adL7pGHEWRwute2wxzZ,
I Kissed A Girl,Katy Perry,One Of The Boys,https://open.spotify.com/track/14iN3o8ptQ8cFVZTEmyQRV,
Out of Touch - Single Version,Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,https://open.spotify.com/track/169oHBed4Nj1Q073yu9bFB,
Szansa,Virgin,Ficca (Reedycja),https://open.spotify.com/track/174MJEzLMEYM0Dy2QywOIO,
Nine Thou - Grant Mohrman Superstars Remix,"Styles Of Beyond, Grant Mohrman",Nine Thou (Grant Mohrman Superstars Remix),https://open.spotify.com/track/18vrKPS0oVhYVNHRkONp3A,
Droga,Hemp Gru,Droga,https://open.spotify.com/track/19sdwp1kzCsjGklgyxYbZ5,
I'm Not In Love,10cc,20th Century Masters: The Millennium Collection: Best Of 10CC,https://open.spotify.com/track/1A6Kwtsg3JWKU2KWM2udpM,
Vademecum DJ'a,Jacek Stachursky,2 CD - 2009 Special Edition,https://open.spotify.com/track/1Aycp2jugMH4wjbsaCumKZ,
Just Like a Pill,P!nk,M!ssundaztood (Expanded Edition),https://open.spotify.com/track/1BpV8IGf4XsRRJf4Xuui9q,
Thriller,Michael Jackson,Michael Jackson's This Is It,https://open.spotify.com/track/1D9KEXIrlmPUkMTdYzqgX4,
Po robocie,Mezo,Słowo ma moc,https://open.spotify.com/track/1EcFJm2Tv2slzfWF4b8odb,
Who Let The Dogs Out,Baha Men,Who Let The Dogs Out,https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo,
Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),https://open.spotify.com/track/1HHeOs6zRdF8Ck58easiAY,
Lonely,Akon,Trouble,https://open.spotify.com/track/1IpYDWB31L1CxDQZztadSi,
Happy Children,P. Lion,ZYX Italo Disco Collection,https://open.spotify.com/track/1IxxOTWNmoauiKyIoq5H0U,
We Are The People,Empire of the Sun,We Are The People,https://open.spotify.com/track/1JqTcOjOn7gEpeC0JcRVPa,
Butelki z benzyna i kamienie,Cool Kids Of Death,Cool Kids Of Death,https://open.spotify.com/track/1NZU0xJmGOhTp7adQtzUNO,
Chalupy welcome to,Zbigniew Wodecki,Najwieksze przeboje,https://open.spotify.com/track/1PkbHw9EgJOPMYhgfHLPnJ,
Poker Face,Lady Gaga,The Fame,https://open.spotify.com/track/1QV6tiMFM6fSOKOGLMHYYg,
Clint Eastwood,Gorillaz,Gorillaz,https://open.spotify.com/track/1RKUoGiLEbcXN4GY4spQDx,
Angels (Love Is The Answer),Morandi,N3xt,https://open.spotify.com/track/1S5zP1nJsDdoNIvV9tRx4N,
Na wspólnej,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/1TJBW7z8ezxtfFJN6EOHt4,
Sky - Radio Edit,Sonique,Sky,https://open.spotify.com/track/1UPOVFREKp8SbfyQheZnID,
No pokaż na co cię stać,Feel,Feel,https://open.spotify.com/track/1VS9xug6sikx03xplA3JbX,
Tacy sami,Lady Pank,Tacy sami,https://open.spotify.com/track/1Vl1GtLUA4b7r2J6wGAoY4,
Paznokcie,Małpa,Kilka numerów o czymś,https://open.spotify.com/track/1ZoorgbIA3XZV21EBLQ5RC,
Chelsea Dagger,The Fratellis,Costello Music,https://open.spotify.com/track/1bCmvezFg5MRcENzCGG1Cy,
Zostawcie titanica,Lady Pank,Tacy sami,https://open.spotify.com/track/1bZaNDeEBuuvyz1nJnGSsm,
Jerk It Out,Caesars,Jerk It Out,https://open.spotify.com/track/1bx7OUl2UmAnA5oZkm9If7,
World Hold on (Children of the Sky) [Radio Edit],"Bob Sinclar, Steve Edwards",World Hold on (Children of the Sky) [Radio Edit],https://open.spotify.com/track/1c0zagykmGPDYuxJeDqZhJ,
