title,author,album,url,score
Pola ar,Łąki Łan,Syntonia,https://open.spotify.com/track/3k8bE3AG56IQAuPoQNachg,
Hit the Road Jack,Ray Charles,Best of Rock 'n' Roll & Jukebox Music: 100 Greatest Hits from the 50s & 60s,https://open.spotify.com/track/3mERWdzRFDdQL4si3tS0dh,
Tiruriru,MŁODY DZBAN,Tryptyk Sobotni,https://open.spotify.com/track/3mtjUbuazXYzmHmapkC76K,
Alphabet Challenge,Donguralesko,Alphabet Challenge,https://open.spotify.com/track/3oJg7dFXub6apRfCWxvM6s,
Betonowe Lasy Mokną (prod. Matheo),"Donguralesko, DJ Kostek",Totem Leśnych Ludzi,https://open.spotify.com/track/3oSm9Mw4oo3mGCAzY6hkLY,
Nie ma mocnych na Mariolę,Mig,Nie ma mocnych na Mariolę,https://open.spotify.com/track/3oZdFoYiziXO6hvE1nce4q,
Shanghai,Lee Marrow,Italo Golden Classics,https://open.spotify.com/track/3rYtuduzAfXKnX3gx7edjd,
RS7,Reto,BOA,https://open.spotify.com/track/3t8zP8zsZmghSVhHscpbmD,
Automatic,DON BROCO,Automatic (Deluxe),https://open.spotify.com/track/3tBtsWn34RDTLDMXEub2hQ,
Ramię w ramię jak spartanie,Put-In,Ramię w ramię jak spartanie,https://open.spotify.com/track/3tP34FxHNfOw8Pc418idEo,
Najebany to do domu,Bracia Figo Fagot,Disco polo (Edycja specjalna),https://open.spotify.com/track/3tiMKf5naSBSYsPccvg3Rx,
Tacata' - Radio Edit,Taca Taca,Tacata',https://open.spotify.com/track/3tpq43ITbAyLHcXrYWQ8xW,
MUFASA,Malik Montana,Tijara,https://open.spotify.com/track/3tyEmc9HLolucPN1gGL0vL,
Trójkąty i Kwadraty,Dawid Podsiadło,Comfort and Happiness,https://open.spotify.com/track/3v0fVON6z5CnRlle3SJZU1,
Globalnie,"Mrozu, Waldemar Kasta",Vabank,https://open.spotify.com/track/3vZiNazpydKFyUrKhG5eKS,
Dancing Lasha Tumbai,Verka Serduchka,До Ре Ми,https://open.spotify.com/track/3ve2mVR6BkXuNWfHVoA5yu,
VHS,PRO8L3M,PRO8L3M,https://open.spotify.com/track/3vwEmWWaDFvdLKLPQ2Cxa2,
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,
Makijaż,PRO8L3M,Hack3d by GH05T 2.0 EP,https://open.spotify.com/track/3x0By1u4g5UM5BaBrrAF78,
DMT,Żabson,To ziomal,https://open.spotify.com/track/3yGmWw3t0cRIzC7XmEso7s,
Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway","Soma 0,5 mg",https://open.spotify.com/track/3yI9jZu5AE7y7kUCqfBhCA,
Fuck You,CeeLo Green,The Lady Killer (Deluxe),https://open.spotify.com/track/3ydfhgIZIc2j39NLIhpJpq,
Destiny,Groovebusterz,First Step,https://open.spotify.com/track/3yrKPRvRIDknR8VKrAjYCA,
Palę Majki (prod. Matheo),Donguralesko,Totem Leśnych Ludzi,https://open.spotify.com/track/3ziYr2UBum0AWWXlWTJC6G,
Kinga,Mister D.,Społeczeństwo Jest Niemiłe,https://open.spotify.com/track/40YfScUx8QHFd5eWt4pCuv,
Bułgarskie Centrum Hujo**,Pidżama Porno,Bułgarskie centrum,https://open.spotify.com/track/41WEPImi2i95nTM2uNUTNo,
Poka Fejs,"Kaz Bałagane, Amen Pacierzu",Radio Gruz,https://open.spotify.com/track/41vtgZOSBKWWyu1gMkYI1r,
Love Spy - Radio Edit,Mike Mareen,The Best Of,https://open.spotify.com/track/42Qkq0VudeBF17F7gDBTdZ,
Idę na plażę,Video,Idę na plażę,https://open.spotify.com/track/42VeKNo3jtW1LrgTSlk17K,
All Day Everyday (Łee),Kaz Bałagane,Narkopop,https://open.spotify.com/track/42Y5pqnu8iQMPuyJUgbBKx,
Ballada o Cześku Piekarzu,Wolna Grupa Bukowina,Kolory Muzyki,https://open.spotify.com/track/44CBDm8aP0L3jaG5zO5chM,
LASSIE WRÓC,Malik Montana,Tijara,https://open.spotify.com/track/44pS59IyCLUjN9GYEXKiWs,
Last Friday Night (T.G.I.F.),Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,https://open.spotify.com/track/455AfCsOhhLPRc68sE01D8,
Co mi Panie dasz,Bajm,Best Of (1978- 2018),https://open.spotify.com/track/45ghTMKvWtMCX9tHJCT1Zo,
Bailar (feat. Elvis Crespo) - Radio Edit,"Deorro, Elvis Crespo",Bailar (feat. Elvis Crespo) [Radio Edit],https://open.spotify.com/track/45sGyAtAxD6efaN0bJAFgh,
Diament,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/45sSF3uY47dF2GfR1PGkqN,
Intro,Green Grenade,Purple Tape,https://open.spotify.com/track/45xiprk2CyEL434pA3qxz1,
Rock You Like a Hurricane,Scorpions,Comeblack,https://open.spotify.com/track/46QazXxQS0B31CnbRCy8CV,
Baba Yetu,"Peter Hollens, Malukah Fenix","Covers, Vol. III",https://open.spotify.com/track/47SMgFonYypizibdQ8P4r1,
Robie YEAH,"Malik Montana, K Koke",Import / Export,https://open.spotify.com/track/47qskZHot8gBmU4gkf9Jvi,
"Piosenka o Siusiaku, A Właściwie Jego Braku",Wojtek Szumański,Ogólnie Rzecz Biorąc,https://open.spotify.com/track/48GbZcEToaGafPP9JfbF8t,
Male rzeczy,Sylwia Grzeszczak,Sen o przyszłości,https://open.spotify.com/track/49ZeX1Mfls6dP6dm4OyWQP,
Country Sh*t (Remix),"Big K.R.I.T., Ludacris, Bun B",R4 The Prequel,https://open.spotify.com/track/49qWe1YSbt4s5TvtN09jgi,
Talib 30,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/4BNkHUXphbQAZMpold7znA,
