title,author,album,url,score
Let's Get Loud,Jennifer Lopez,On The 6,https://open.spotify.com/track/42nSaPdT6g3ZIMHmKLlP2p,
Jailhouse Rock,Elvis Presley,Platinum - A Life In Music,https://open.spotify.com/track/452KBpASS5lZLeJWX9Ixub,
"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,Escape From Television,https://open.spotify.com/track/45r7mbXRbpFAYZavAoX6tk,
Down Under,Men At Work,The Best Of Men At Work: Contraband,https://open.spotify.com/track/46RVKt5Edm1zl0rXhPJZxz,
I Want It That Way,Backstreet Boys,Millennium,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya,
The Rockafeller Skank,Fatboy Slim,You've Come a Long Way Baby (10th Anniversary Edition),https://open.spotify.com/track/48JrHJdke53Te8dQ9aWzvV,
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,
Smack My Bitch Up,The Prodigy,The Fat of the Land,https://open.spotify.com/track/48vDCZIRmrFO33fH4QU4ij,
Your Woman,White Town,Women In Technology,https://open.spotify.com/track/4ACxa9buEUnOdYEoPcnMpi,
Butterfly,Crazy Town,The Gift Of Game,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC,
Mickey,Toni Basil,Mickey: The Very Best Of Toni Basil,https://open.spotify.com/track/4Gnl12vioGd6lgIjeYcMCl,
The Next Episode,"Dr. Dre, Snoop Dogg",2001,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC,
W Dzień Gorącego Lata,Big Day,Iluminacja (Remastered),https://open.spotify.com/track/4NcPa732rbAR9MBUoiW8Jx,
Bo jestes Ty (2012 Version),Krzysztof Krawczyk,The Very Best Of vol.2 - Other Versions (Krzysztof Krawczyk Antologia),https://open.spotify.com/track/4PNL0KmY975rHWHX83pFEW,
Friday I'm In Love,The Cure,Wish,https://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n,
Tarzan,Tarzan Boy,Kaligula,https://open.spotify.com/track/4ROo6Ql9goEFbRomloff6e,
Nadzieja,IRA,Mój Dom,https://open.spotify.com/track/4S81mARVgP200Z7WTXsYYa,
Personal Jesus - Single Version,Depeche Mode,The Singles 86-98,https://open.spotify.com/track/4UCTgh5jvtqoaMX6MAhUNn,
Easy,Faith No More,Angel Dust (Deluxe Edition),https://open.spotify.com/track/4Y3WqmBWmG23thvU9xEhMv,
"Nuthin' But A ""G"" Thang","Dr. Dre, Snoop Dogg",The Chronic,https://open.spotify.com/track/4YtoipFgf4k0AfD17ZfD5X,
Ona Jest Pedalem,Elektryczne Gitary,Na Krzywy Ryj,https://open.spotify.com/track/4ZZ7HqJPTVSzHZLVRyWryf,
Conga,Gloria Estefan,Exitos de gloria estefan,https://open.spotify.com/track/4aMT5LHe8A2uIc11H8Cx2m,
Lemon Tree,Fools Garden,Dish Of The Day,https://open.spotify.com/track/4fXGWiVhlOLdhwRDP6pIFG,
Der Kommissar,Falco,Greatest Hits,https://open.spotify.com/track/4gw8O2Rz5RgOtqnTvd7DnV,
Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,
Cambio Dolor,Natalia Oreiro,Natalia Oreiro,https://open.spotify.com/track/4kreL49xOapJRVTKl2OcmQ,
Maria,Rage Against The Machine,The Battle Of Los Angeles,https://open.spotify.com/track/4llunZfVXv3NvUzXVB3VVL,
Once,Pearl Jam,Ten,https://open.spotify.com/track/4nRyBgsqXEP2oPfzaMeZr7,
Macarena,Los Del Rio,Fiesta Macarena,https://open.spotify.com/track/4oaj36KzXRgDg4McgcTsZK,
Call Me,Blondie,Atomic/Atomix,https://open.spotify.com/track/4qO03RMQm88DdpTJcxlglY,
Show Me Love,Robin S,Show Me Love,https://open.spotify.com/track/4t0UsYzmmmZRMTWn77jiGF,
Get Ready - Rapversion Edit,2 Unlimited,Get Ready,https://open.spotify.com/track/4tvOVmc2jorV20Z2hFDtDg,
Children,Robert Miles,Children (Dance Vault Mixes),https://open.spotify.com/track/4wtR6HB3XekEengMX17cpc,
Zero To Hero,"Chorus - Hercules, Lillias White, Cheryl Freeman, LaChanze, Roz Ryan, Vaneese Thomas, Tawatha Agee",Hercules (Original Motion Picture Soundtrack/Bonus Track Version),https://open.spotify.com/track/4zolucjtFImLJjMApnjoet,
Still D.R.E.,"Dr. Dre, Snoop Dogg",2001,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep,
Goldeneye,Tina Turner,Goldeneye,https://open.spotify.com/track/528QhCT2v3HgD71RmrSUNW,
The Tide Is High,Blondie,Atomic/Atomix,https://open.spotify.com/track/52Rp3xBJFYYdmpgzDy0Quf,
Beat It,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",https://open.spotify.com/track/52xaypL0Kjzk0ngwv3oBPR,
Sen O Warszawie - Live,Wilki,Acousticus Rockus (Live),https://open.spotify.com/track/55X9lTpYu0CTwSAym1tCOC,
Thunderstruck,AC/DC,The Razors Edge,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,
Bitter Sweet Symphony,The Verve,Urban Hymns (Remastered 2016),https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,
I'll Make a Man Out of You,"Donny Osmond, Chorus - Mulan",Mulan Original Soundtrack,https://open.spotify.com/track/58kNJana4w5BIjlZE2wq5m,
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,
Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),https://open.spotify.com/track/5ByAIlEEnxYdvpnezg7HTX,
The Bad Touch,Bloodhound Gang,Hooray For Boobies,https://open.spotify.com/track/5EYdTPdJD74r9EVZBztqGG,
Lato w Kołobrzegu,Skaner,Lato w Kołobrzegu,https://open.spotify.com/track/5JYDPpSACaucNhCzpzovlZ,
Radio Song,R.E.M.,Out Of Time (25th Anniversary Edition),https://open.spotify.com/track/5UBeN0XvvIvnEjyp6uThr4,
Jedyne co mam,Czerwony Tulipan,Jedyne co mam,https://open.spotify.com/track/5WWK07aVRFrnOhcYw3jOHl,
Wynona's Big Brown Beaver,Primus,Tales From The Punchbowl,https://open.spotify.com/track/5WzdX4iArSQZELuxI0Oq5Q,
Barbie Girl,Aqua,Aquarium (Special Edition),https://open.spotify.com/track/5ZrDlcxIDZyjOzHdYW1ydr,
