title,author,album,url,score
Push The Button,Sugababes,Taller In More Ways,https://open.spotify.com/track/3EDS89HeAhHiZKlljciK0a,
Stomp! - Single Version,The Brothers Johnson,Strawberry Letter 23: The Very Best Of The Brothers Johnson,https://open.spotify.com/track/3EG65y2LtxWjfydabHdItb,
Dancing in the Moonlight,Toploader,Onka's Big Moka,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od,
Moja Gwiazda,Akcent,Moja Gwiazda,https://open.spotify.com/track/3GG6wPyM3P25qhTMbnKJkd,
Right Round,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),https://open.spotify.com/track/3GpbwCm3YxiWDvy29Uo3vP,
Mogliśmy,Verba,21 November,https://open.spotify.com/track/3HwQYKgYqKbB5AowlEpMaD,
Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,https://open.spotify.com/track/3IV4swNduIRunHREK80owz,
Blood Sugar - Original Mix,Pendulum,Hold Your Colour,https://open.spotify.com/track/3JYcbD7v7VaPVJ1Z0QChZU,
No Cigar,Millencolin,Pennybridge Pioneers,https://open.spotify.com/track/3KLkRy9l3us98SIp6mmxkk,
Nietykalni,Papa Dance,Nasz ziemski Eden,https://open.spotify.com/track/3PTL13RGTXjGbDAwqVir1K,
Radio Song,Afromental,Playing With Pop,https://open.spotify.com/track/3TrCBqy6OT5W8SUBSs9VaY,
Tańczyć Chcę - Radio Edit,Long & Junior,Tańczyć Chcę (Radio Edit),https://open.spotify.com/track/3WPvEQ1hH6V9B4WCOx0n2m,
Dosko,Jacek Stachursky,2009,https://open.spotify.com/track/3XDLUCrPUh9sCKlVsa9lmW,
Ice Ice Baby,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,https://open.spotify.com/track/3XVozq1aeqsJwpXrEZrDJ9,
"Dni, których nie znamy",Marek Grechuta,Korowod,https://open.spotify.com/track/3YQjwJ6JFqE588ZOXRmKLl,
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,
