title,author,album,url,score
Ukryty w Mieście Krzyk,"Pezet, NOON",Muzyka Klasyczna,https://open.spotify.com/track/6gRELaYf0hDk1WyZVAW1MX,
My Generation,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,https://open.spotify.com/track/6holGuk1jKHTdWyWBOZi8l,
Jesteś lekiem na całe zło - 1994,Krystyna Prońko,Osobista kolekcja 2,https://open.spotify.com/track/6hqftK2O6t2sI5AmwLhnLs,
W Kinie W Lublinie - Kochaj Mnie,Brathanki,Gwiazdy XX Wieku,https://open.spotify.com/track/6iDnwqlqwZhHskFg8jmmuf,
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),https://open.spotify.com/track/6jEZLz3YpnEBRpVkv35AmP,
All Good Things (Come To An End),Nelly Furtado,Loose (International Version),https://open.spotify.com/track/6kEpjptnAwt11Atr4cEMe1,
Spowiedz,Kasia Kowalska,Antepenultimate,https://open.spotify.com/track/6koB19H6lofuZEk16vSe1g,
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,
Remember the Name (feat. Styles of Beyond),"Fort Minor, Styles Of Beyond",The Rising Tied,https://open.spotify.com/track/6ndmKwWqMozN2tcZqzCX4K,
Za-czekam,Mietek Szczesniak,Spoza Nas,https://open.spotify.com/track/6pqyhWldo6NkVpeMRvXKSl,
Moja mała blondyneczka,Bayer Full,Blondyneczka (The Best),https://open.spotify.com/track/6rpDBqqD86UVn6Xq2f29Pe,
Zodiak na melanzu,Monopol,Zodiak na melanzu,https://open.spotify.com/track/6sVAQuLyWUUITbfgPFMo59,
Cała sala śpiewa z nami,Jerzy Połomski,Nie zapomnisz nigdy (The Best),https://open.spotify.com/track/6uvAhUgZvgbCCsbSSWNSoG,
Ważne,"Tabb, Mezo",Wyjście z bloków,https://open.spotify.com/track/6v6cEJlGrYcSzW0fUi1xAM,
Noce i dnie,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/6w8YO0tiC3C18D6wDkYm1c,
Raissa,Strachy Na Lachy,Grabaż i Strachy na Lachy,https://open.spotify.com/track/6wyWZFvajrJjpRA2d5ZCK8,
"World, Hold On","Bob Sinclar, Steve Edwards",Western Dream,https://open.spotify.com/track/6yeO8fapOJGqL8Hr0Da2l3,
Suczki,"Ascetoholix, Szad, Mezo",Apogeum,https://open.spotify.com/track/6zH8mWQS1hr7qSu9EjkR1o,
In This World,Moby,18,https://open.spotify.com/track/70evTHsBFgs1AKhC5URcCz,
Angelene - MTV Unplugged,"Hey, Agnieszka Chylinska",MTV Unplugged,https://open.spotify.com/track/70kxGim7OLRWKBUgnZ55JI,
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",R&G (Rhythm & Gangsta): The Masterpiece,https://open.spotify.com/track/70ludZZEUJy1aFVkPI0Kpi,
Ant Music,Hyper,We Control,https://open.spotify.com/track/71g9qyFcDAj7zdUpm2eVXB,
Skuter,Sidney Polak,Cyfrowy Styl Zycia,https://open.spotify.com/track/75BqGmJpXL4oVrbdEJAaVJ,
Tak ... Tak ... To Ja,Obywatel G.C,Tak Tak,https://open.spotify.com/track/76sTIj0cWqbalUle2UR96R,
Byłaś serca biciem,Andrzej Zaucha,Byłaś serca biciem (The Best),https://open.spotify.com/track/78m1YhFSRqykwJWNJrPeeU,
Kiedyś cię znajdę,Reni Jusis,Trans Misja 100% Electronic,https://open.spotify.com/track/7981WB9aoNhpieLgudOf7K,
Pierwsza miłość,"Piotr Bechcicki, Artur Plichta",Piosenki polskich seriali,https://open.spotify.com/track/79Ikvt6p14rANo1vjgUqOG,
Dziewczyna Mojego Chlopaka,Brodka,Album,https://open.spotify.com/track/7ACVcRZsQb2z5NUMZyZLil,
Biały miś,Top One,Super przeboje,https://open.spotify.com/track/7AS2fitDDQPM0JN4yiZt46,
Zapomnij o Tym,Trzeci Wymiar,Cztery Pory Rapu,https://open.spotify.com/track/7BqG29VTZIdBx5RYaK5b9m,
Around the World (La La La La La) - Radio Version,"A Touch Of Class, Pete Konemann",Planet Pop,https://open.spotify.com/track/7CvOnbFdnIoXMQ4eFCo5lB,
"Do nieba, do piekła",Blue Cafe,Demi-Sec,https://open.spotify.com/track/7EH6PIEiFk3Znvs2IcR3a2,
Aniele,"Mezo, Liber",Mezokracja,https://open.spotify.com/track/7FwpVUGB5TQt4EOk5hYMas,
