title,author,album,url,score
Despacito,"Luis Fonsi, Daddy Yankee",VIDA,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,
Świat nie wierzy łzom,Janusz Laskowski,Być razem blisko,https://open.spotify.com/track/6hoH7qgEZQjY5TmF4Oi2yX,
Heathens,Twenty One Pilots,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,
BOOM,"Tiësto, Sevenn, Gucci Mane",BOOM,https://open.spotify.com/track/6iC7vapdKp0XlKhxOkp8QJ,
Green Light,Lorde,Melodrama,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb,
"Count on Me - 12"" Version",T.ark,The Collection,https://open.spotify.com/track/6iqOJ9hYUXjVpFqzvXQIbq,
Kosmita - SecretiveSuicide x LOAA Remix,"Gedz, SecretiveSuicide, LOAA",Kosmita (SecretiveSuicide x LOAA Remix),https://open.spotify.com/track/6ky7elygdqdJSdSOsChFHA,
Chantaje (feat. Maluma),"Shakira, Maluma",El Dorado,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,
Do następnego,"Kaz Bałagane, Belmondo",Źródło LP,https://open.spotify.com/track/6mtwsYUYiqozNBhnwuhMSO,
XD,Rzabka,Kochany Wariat,https://open.spotify.com/track/6mvmBZ7MTUE7C7XvZFlW1H,
Medycyna Alternatywna,MŁODY DZBAN,Medycyna Alternatywna,https://open.spotify.com/track/6nHeKUaXndwOaojgcPI0JQ,
Kwa Kwa,"Berson, Kaz Bałagane, @atutowy",Kwa Kwa,https://open.spotify.com/track/6r742YK0RdKuMHcSYzp695,
YoMenik,"Belmondo, GSP, YoMenik",Uhqqow,https://open.spotify.com/track/6ruyHG9zF39gBxS0ykW6VA,
Bigotka,Mery Spolsky,Dekalog Spolsky,https://open.spotify.com/track/6skXXfGtjKPK2RTMOiThHk,
Wypłyniemy Dziś,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/6tJz0Lw4pAq7BOBvAawYxS,
Narkotik Kal,Hard Bass School,The Album (Mixed),https://open.spotify.com/track/6teQORVSc9h94ldfTPXOML,
PELIKAN,Malik Montana,Tijara,https://open.spotify.com/track/6uS9OyHTocVw5sntlMrd3R,
Rzeźnia,Rzabka,Ravers Padaka,https://open.spotify.com/track/6vWPVRrVMTCOVtHjY5NYQQ,
Toast,PRO8L3M,PRO8L3M,https://open.spotify.com/track/6vzcDtdBXfcyLaBUyAw6Mw,
Tango,"Mata, DJ Flip",100 dni do matury,https://open.spotify.com/track/6wewGfrHp3Bo9VX7BorrMS,
Pussy Money Weed,Tommy Cash,Pussy Money Weed,https://open.spotify.com/track/6xbozk9YUx4QUC7TmiPSlA,
Kim Jestem - Jestem Sobie,Jacek Stachursky,2k19,https://open.spotify.com/track/6ykmjtXrhuyXxIMZNHW3FK,
12 Groszy,Kazik,12 groszy,https://open.spotify.com/track/75STcWAoHOzuzufByGNJRS,
Into You,Ariana Grande,Dangerous Woman,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe,
Punk Fu!,Daria Zawiałow,Helsinki,https://open.spotify.com/track/77CdmLyI4X3aMaIM8tDfAh,
Kiedy byłem małym chłopcem,Breakout,60 Lat Polskich Nagran,https://open.spotify.com/track/77Q56Fz8eMu3p8pztTJTc2,
Małomiasteczkowy,Dawid Podsiadło,Malomiasteczkowy,https://open.spotify.com/track/77vLpSAMNzeYL4EBeZxWqI,
Za nim był kwit,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/786MB3kFjzrLGR20lWlSng,
Jest jedna rzecz,"Albo Inaczej, Zbigniew Wodecki, Peja",Albo inaczej,https://open.spotify.com/track/793Fj776XOFqTEuunNkWwm,
Skiety & Klapki - Skiety & Klapki,"Kabe, Kizo",Skiety & Klapki,https://open.spotify.com/track/79cyY33irbHnS93VEmzJCX,
Magnitude,Грязный Рамирес,Magnitude,https://open.spotify.com/track/7ABZa96daEFjRUnJrtoKKs,
ROMANTICPSYCHO,Quebonafide,ROMANTICPSYCHO,https://open.spotify.com/track/7CPvgcag4qOc5mJT1OBP9r,
Flashback,Przemek Ferguson,Flashback,https://open.spotify.com/track/7E6aaaqlQHGsGJd9DL2Kav,
Kto Dogoni Psa,Mleko,Ogólne Tematy,https://open.spotify.com/track/7EYHvg0z6HxwMipxXwwuYu,
Perspektiva,S.A.R.S.,10,https://open.spotify.com/track/7FKUc1mFraEOl4k6sdcwfb,
"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",Céline Dion,"Ashes (from ""Deadpool 2"" Motion Picture Soundtrack)",https://open.spotify.com/track/7FihoA0WgTT21DkWR7wbYR,
Ламбада,"T-Fest, Scriptonite",Ламбада,https://open.spotify.com/track/7FuvJwX4VDPE0bAIq9tfbP,
Mata Montana,Mata,Mata Montana,https://open.spotify.com/track/7ILNaXjTXNJAksRhMhvthz,
"Pół kroku stąd - z filmu ""Vaiana - Skarb Oceanu""",Natalia Nykiel,"Pół kroku stąd (z filmu ""Vaiana - Skarb Oceanu"")",https://open.spotify.com/track/7K3Kp6wuTpukVolJq9ZK3e,
HUMBLE.,Kendrick Lamar,DAMN.,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,
Polska drużyna - Radio Edit,Kombi,Polska drużyna (Radio Edit),https://open.spotify.com/track/7LrjAVtL10NQX3yOuaZEtc,
"We Know The Way - From ""Vaiana""","Opetaia Foa'i, Lin-Manuel Miranda","We Know The Way (From ""Vaiana"")",https://open.spotify.com/track/7MlsupISEKsEsvNcMgc06Y,
Lesbijki,"Bedoes, Lanek",Opowieści z Doliny Smoków,https://open.spotify.com/track/7MofD4vBjGxeBLN3NNAAk0,
Late Night Feelings (feat. Lykke Li),"Mark Ronson, Lykke Li",Late Night Feelings (feat. Lykke Li),https://open.spotify.com/track/7aQeWViSfRWSEwtJD86Eq0,
Faryzeusz,"Młodszy Brat, Quebonafident",Młodsze Flow Mixtape,https://open.spotify.com/track/7at53h5xIpVObuW7AzapJI,
BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",ROMANTIC PSYCHO,https://open.spotify.com/track/7eBYMVok43QesT0KnuIkjn,
Nie będę Julią - 2017,Wanda i Banda,Mamy czas,https://open.spotify.com/track/7gHZ88UnVNyeqp0oYiKCY8,
Jackiechan,"Borixon, Reto",Koktajl,https://open.spotify.com/track/7gm7bBENqaqMtb7cJ0S3xJ,
"DuckTales - From ""DuckTales"" / Extended Version",Felicia Barton,"DuckTales (From ""DuckTales"" / Extended Version)",https://open.spotify.com/track/7i45i2jjT1FYZNlLPYE6oc,
AUSLÄNDER,Rammstein,RAMMSTEIN,https://open.spotify.com/track/7j43FohbLVulScL7S9sQZk,
Jesse Pinkman,Przemek Ferguson,Jesse Pinkman,https://open.spotify.com/track/7jVyskSSKFiRbOs6J92GWW,
Zaufaj Dobrym Policjantom,"Młodszy Brat, TPS ZDP",Młodsze Flow Mixtape,https://open.spotify.com/track/7kqmQaMRrID8KFJFyYk9PI,
Saturnz Barz (feat. Popcaan),"Gorillaz, Popcaan",Humanz (Deluxe),https://open.spotify.com/track/7l9CE3wmEGOUYw1j4ETjnL,
Piroman [Projekt Tymczasem],Pezet,Piroman [Projekt Tymczasem],https://open.spotify.com/track/7mVOq5Vlkrm4mVGprQjIri,
Grube I Chude,Diho,Orangutan Vol. 07,https://open.spotify.com/track/7maSUPqeonp1qFPkiQTJ9T,
Grill u Gawrona,"Białas, Lanek",In hajs we trust 2,https://open.spotify.com/track/7n7QAwwFJG7jOjxgACW1XC,
Z twarzą Marilyn Monroe,Myslovitz,Sun Machine,https://open.spotify.com/track/7n8WLP5LoWNrWs039AunWg,
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),"Enrique Iglesias, Descemer Bueno, Zion & Lennox",SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,
Metallica 808,"TACONAFIDE, Quebonafide, Taco Hemingway","Soma 0,5 mg",https://open.spotify.com/track/7oJ5ujI4NyTOV8GvrmA23A,
