title,author,album,url,score
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo,
Zegarmistrz swiatla,Tadeusz Wozniak,Live: Polskie Radio Opole 14 listopada 2011,https://open.spotify.com/track/0rDlwTUWZLevrdr0YJOHta,
Paddling Out,Miike Snow,Happy to You,https://open.spotify.com/track/0rfXn2iUwqQXzNvJgmcG6p,
Nie Lubimy Robić,"Donatan, Borixon, Kajman",Równonoc Słowiańska Dusza,https://open.spotify.com/track/0s1VSvvIRvaRgKZbhzaKX9,
Ich find dich scheisse,Tic Tac Toe,Tic Tac Toe,https://open.spotify.com/track/0sP5kWa0azj9ucsZCSQxUS,
Ghostbusters,Ray Parker Jr.,80s 100 Hits,https://open.spotify.com/track/0sTHEo24E8LxasEkSnpUkx,
Jak nie ma wódki,"A'Vista, Barbara Pliszka",Biesiada z procentem (No to siup!),https://open.spotify.com/track/0t9ueOCUNyMIRBhPd8jIgN,
Fejk,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/0thr8u5nnL6QQiOl1br4aN,
Rapper's Delight - Single Version,The Sugarhill Gang,The Sugarhill Gang - 30th Anniversary Edition (Expanded Version),https://open.spotify.com/track/0tm6gsXe0LSm9zeSspyMQu,
Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),SLACKCiRCUS,Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),https://open.spotify.com/track/0trTpNYmHAK3EihaZBd2h6,
Tonight,Ken Laszlo,The Best of Ken Laszlo,https://open.spotify.com/track/0u4IYwUbmgn2YASsBmouFR,
"Sos, Ciuchy I Borciuchy","Kaz Bałagane, Bel Mondo","Sos, Ciuchy I Borciuchy",https://open.spotify.com/track/0ujCoA9gyKRyaSyE2nr1gu,
Tsunami,"DVBBS, Borgeous",Tsunami,https://open.spotify.com/track/0vZCG0H9KhtU7K8MEUVAoV,
Daj mi tę noc,Bolter,Koncert Życzeń,https://open.spotify.com/track/0vmfQEOTX7rw1O7vI1DIFJ,
Gold on the Ceiling,The Black Keys,Gold on the Ceiling,https://open.spotify.com/track/0vvpFlBvUOIx3o7NT3G0q1,
Oszustki,"Red, Kaen, Kaz Bałagane",Kaen Prezentuje Alterego TeamTape,https://open.spotify.com/track/0wabBTD0wkOI4Jz7oWntAB,
Ona Goa,MŁODY DZBAN,Ona Goa,https://open.spotify.com/track/0wbwyFAViFvDvMD7dBLNfG,
6 zer,Taco Hemingway,Umowa o dzieło,https://open.spotify.com/track/0wjEBh3jHeQsjH82v4rjRE,
Delfin,"Bedoes, Kubi Producent, Koldi, Young Multi, Beteo",Kwiat polskiej młodzieży,https://open.spotify.com/track/0xoUDiOLXqp9qB3S9FkvUI,
Sorry Dolores,"Reto, Quebonafide",BOA,https://open.spotify.com/track/0yd4OCmrcqvsAMUJGCMEFQ,
Rudy się żeni,Big Cyc,"Najlepsze Hity Dla Ciebie Polskie, Vol. 2",https://open.spotify.com/track/0yo2pYrITBUzaKw2pflUoK,
Prosciutto Crudo,Kaz Bałagane,Narkopop,https://open.spotify.com/track/0ywhZ10pRmDgBsv4bP37re,
Sezam,Don Poldon,Vagabundus,https://open.spotify.com/track/0zGGmPcudReo9hGSItcWyF,
Hajs,Mister D.,Społeczeństwo Jest Niemiłe,https://open.spotify.com/track/0zNrQ5c60w8Ii8zJKLTCdD,
Bania u Cygana - Dance Remix,Zero,3,https://open.spotify.com/track/10BIj7i3KTwczvi8RmLzME,
Out Of The Fire,Metrik,Metrik EP,https://open.spotify.com/track/10fwHsJlSRVsROQ9b8XEdh,
5 минут назад,"PHARAOH, Boulevard Depo",Плакшери,https://open.spotify.com/track/10pXYKoJOxNAWkeGkNeNnH,
Trendsetter,Kaz Bałagane,Narkopop,https://open.spotify.com/track/11faTHLmwOoXzGw4uuZJww,
Torreador bitów,ZBUKU,Że życie ma sens,https://open.spotify.com/track/11i8qBjl2KgetYuB4aVXuo,
Krzyż,Olszakumpel,Krzyż,https://open.spotify.com/track/121Ji6gCxbmtKpkxngevlL,
Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,https://open.spotify.com/track/127uq83uGFapbddqiMUKky,
Mój jest ten kawałek podłogi,Mr. Zoob,Polskie single '85,https://open.spotify.com/track/142yjgxYc26ON55Zx2M339,
Малый повзрослел,Max Korzh,"Малый повзрослел, Ч. 1",https://open.spotify.com/track/14JceK2UBLd0UUm23N5lRy,
Witaminki dla chłopczyka i dziewczynki,Zespół Dziecięcy Fasolki,Piosenki pana Tik-Taka,https://open.spotify.com/track/14UROhaQDWE1e5VnSGCd3v,
Niegrzeczna,"Pezet, Wdowa",Muzyka rozrywkowa,https://open.spotify.com/track/15WuIOw8omfaTEQjVyuUQz,
Call Your Girlfriend,Robyn,Body Talk,https://open.spotify.com/track/15hut9fX33giUAMyycwvsV,
Nie zadzieraj nosa,Czerwone Gitary,Najwieksze Przeboje Czerwonych Gitar,https://open.spotify.com/track/163QMJ7E3NVqFFT0eU7msc,
Freefall,Jeckyll & Hyde,The Album,https://open.spotify.com/track/17Ph3lPJTrq5t7esgouyFv,
Who's in the House - New Vocal Edit,Chris Kaeser,Who's in the House,https://open.spotify.com/track/17ynDLXuEjER7oSV8OBTBa,
Noc komety,Felicjan Andrzejczak,Kolory Muzyki,https://open.spotify.com/track/18sM7A95jQugA982HWRJoe,
INTERNET.WAV,Żabson,INTERNET.WAV,https://open.spotify.com/track/19R3TPq2ZzMiSQkq30RwGS,
