title,author,album,url,score
MIELI,Malik Montana,Tijara,https://open.spotify.com/track/56NIT06yvwvsWK3l7nRbbh,
Time (Dance Mix),Koto,Maxi Hits - Mixes,https://open.spotify.com/track/56aMk3lu4No53Rgq4Pc8T9,
Kocie ruchy,Dr. SWAG,Kocie ruchy,https://open.spotify.com/track/58I1j1h2f59jlJdusjonLe,
Gustaw,Bedoes,Gustaw,https://open.spotify.com/track/58rF7yf9bKroXLT2yMh7jl,
Bezsenni,"Krzysztof Krawczyk, Katarzyna Nosowska",Duety,https://open.spotify.com/track/595Osiq9Zh9HLH7ewHiNgy,
The Right Song,"Tiësto, Oliver Heldens, Natalie La Rose",The Right Song,https://open.spotify.com/track/59yxjfkqhOPacjiolBHQDC,
Spodenki Do Ćpania,Kaz Bałagane,Narkopop,https://open.spotify.com/track/5AGaFrwi1HLtIyD97WzSGW,
Miniówa,Kukon,Ogrody Mixtape,https://open.spotify.com/track/5AzEmGaaYB24tver2U4Sb3,
Kryptowaluty,"TACONAFIDE, Quebonafide, Taco Hemingway","Soma 0,5 mg",https://open.spotify.com/track/5BUhxai60oAz69BWZv1qW5,
TIRy,"BORCREW, Paluch",BORCREW ALBUM,https://open.spotify.com/track/5C3Yn8wvSCup64ZiQWojP6,
Uliczne bajlando,"Kaczor BRS, Dudek P56, Kłyza MS, Rogal DDL",TRAPanacja czaszki,https://open.spotify.com/track/5CEIvGuuFQcMfI91koquld,
"Starman - Original Single Mix, 2012 Remaster",David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",https://open.spotify.com/track/5CTFzo4fNoz1r50OeoFk4X,
Rastaferrari,Don Poldon,Vagabundus,https://open.spotify.com/track/5DUtmkrz5lzh6LHVQcKSD5,
You Got Me,Alan Barry,Greatest Hits & Remixes,https://open.spotify.com/track/5GIbGtqSSH7RM38kDYZRFs,
Лаллипап,PHARAOH,Pink Phloyd,https://open.spotify.com/track/5HHMRGj4gT6gRqx2oYVuga,
Królowa łez,Agnieszka Chylinska,Forever Child,https://open.spotify.com/track/5JRUjWbnbgMskSqyX4pY9s,
Boy With Luv (feat. Halsey),"BTS, Halsey",MAP OF THE SOUL : PERSONA,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,
BILLY,6ix9ine,Day69: Graduation Day,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J,
Intercontinental bajers,"Solar, Białas",Intercontinental bajers,https://open.spotify.com/track/5KnQWltviJjPMNWLQCNhgg,
Maradona,"Płomień 81, Pezet, Onar",Maradona,https://open.spotify.com/track/5McQD64MxWJmfYoRPfegfC,
Habibi Yaeni,Orgonite,Habibi Yaeni,https://open.spotify.com/track/5NMl30ICmZPhfhxcXnwKL1,
Mówili mi,Kleszcz,Czerń i biel,https://open.spotify.com/track/5OXamRRX3fyI1Oi55CiF5d,
Linijki,Kaz Bałagane,Radio Gruz,https://open.spotify.com/track/5OYbTBd2zPy0lFEXy6A1uT,
Save Your Tears,The Weeknd,After Hours,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,
Początek,"Męskie Granie Orkiestra 2018, Dawid Podsiadło, Kortez, Krzysztof Zalewski",Początek,https://open.spotify.com/track/5SPO91s5J85CAxHREvwj3b,
Długi Rejs,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/5SpOsWSRsq7JqC2dBLRpWf,
Half Dead,"Quebonafide, Reto",Dla fanów eklektyki,https://open.spotify.com/track/5TuXRIWZicQ2baTHfXID0U,
Stiff Arm,Jericho,Stiff Arm,https://open.spotify.com/track/5WJ0Q1zoLCOAtYUuwQhLJ3,
Nie wiem (prod. Lodafrench),Young Multi,Nowa Fala,https://open.spotify.com/track/5bE9gjToP1DgLjF5RpSswm,
Naaajak,"Diho, Malik Montana",Europe's Illest,https://open.spotify.com/track/5bFGE0DEiV3YEIZwNW11SQ,
Lasy,"SB Maffija, Bedoes, Białas, Moli, Solar",Hotel Maffija,https://open.spotify.com/track/5bsfEKd1NRYLQlsz5JfIzu,
Attention,Charlie Puth,Voicenotes,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,
On My Mind - Do You Dance? Edit,"Diplo, SIDEPIECE",On My Mind (Remixes),https://open.spotify.com/track/5eDfaZRHd5yk0ALG5wH8Mv,
Do zakochania jeden krok,Andrzej Dabrowski,60 Lat Polskich Nagran,https://open.spotify.com/track/5eQ1o1kfwd5CrqnFZhnUSM,
"Jasmin China Girl - 12"" Version",Mozzart,Devil's Randezvous (Greatest Hits & More),https://open.spotify.com/track/5gZSQ61SvJtY5zPn9HxAWV,
Bracia Golec,"Kaz Bałagane, Bel Mondo",Bracia Golec,https://open.spotify.com/track/5hEtGiYlTTWxYolsthy2jU,
Schodki,Mata,Schodki,https://open.spotify.com/track/5hbjEop5ZACSF37JmcsQQU,
On a Mission,"Alcomindz, Jaco, Koldi, Kolins",On a Mission,https://open.spotify.com/track/5jLvcBtYOIkJxoRPtO5Aor,
Zimna Lufa - DENN Club Mix Extended,"Jacek Stachursky, DENN",Zimna Lufa,https://open.spotify.com/track/5lIkJtiwAaxlSoxk2JRpd1,
Deszcz Banknotów,"Young Igi, Malik Montana",Deszcz Banknotów,https://open.spotify.com/track/5mBuDjogBy1eqmBNT0hY0r,
Dupa jak ty,Don Guralesko,Empire Force One,https://open.spotify.com/track/5mwKNpcCHdAOFntS9afrzC,
