title,author,album,url,score
Piercing Light,"League of Legends, Mako",Warsongs,https://open.spotify.com/track/0163ud7I4Vb0ID5K7WBkq9,
Love Sosa,Chief Keef,Finally Rich,https://open.spotify.com/track/01Lr5YepbgjXAWR9iOEyH1,
You Bring Me Joy,Amelia Lily,You Bring Me Joy,https://open.spotify.com/track/01iy1rlxkZyq1adDT4I8iv,
One Desire - Mondotek Radio Edit,Jakarta,One Desire (Mondotek Radio Edit),https://open.spotify.com/track/027WgwrVwUQdngdRuTEEEL,
Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql,
MOOO!,Doja Cat,Amala (Deluxe Version),https://open.spotify.com/track/043dDJ9u0PQ3ooAXMgcwOe,
I Love You - 2008 Remaster,T.Love,Zlota Kolekcja,https://open.spotify.com/track/04DHPYhhRkbv5ln3rworik,
My Number,Foals,Holy Fire,https://open.spotify.com/track/04caEZhAsQKnWqKsMwk9ud,
MMMBop,Hanson,90s Mixtape,https://open.spotify.com/track/05Pu1knSGYlsRWTNB1swXw,
Velociraptor!,Kasabian,Velociraptor!,https://open.spotify.com/track/05bWxnwNuP1R1mBkSPJRqN,
Outro,Green Grenade,Purple Tape,https://open.spotify.com/track/061cOcBX119HmeNeA6wJCC,
Love Illumination,Franz Ferdinand,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",https://open.spotify.com/track/06Qha323s06okpZ4LmMX7P,
Wildfire,"SBTRKT, Little Dragon",SBTRKT,https://open.spotify.com/track/06U3tIapsJ0X6dZx5nhLtt,
Hiszpańskie Dziewczyny,Piosenki Szantowe,Szanty: Sailing Songs,https://open.spotify.com/track/06ebOi23Tcq8yk4GFV732T,
Magenta (prod. Auer),Pezet,Muzyka współczesna,https://open.spotify.com/track/07Agqdd4SD83JRgN19OjdW,
I'm Shakin',Jack White,Blunderbuss,https://open.spotify.com/track/07AjyDeE85pDr4Dj8BzgWB,
Hot Dog,Bracia Figo Fagot,Na bogatości,https://open.spotify.com/track/07aWHiaZCdHWAPKzBuocCk,
Doskozzza,Jacek Stachursky,2k19,https://open.spotify.com/track/07gndbI3ueJQ18Fv6ihl4T,
Lets Dance Tonight,David Gray,Italo Disco,https://open.spotify.com/track/07gwXgmMDlzAhh5lM2BeGZ,
Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn,
"Polonaise in A-Flat Major, Op. 53 ""Heroic""","Frédéric Chopin, Lang Lang",Live in Vienna,https://open.spotify.com/track/096Z8UkoxZO6g0eIEkXQZT,
Jak minal dzien,Krzysztof Krawczyk,The Very Best Of Vol.1 (Krzysztof Krawczyk Antologia),https://open.spotify.com/track/09AREW7VQsFcafq2NhIieq,
Grenlandia,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/0AmXmM3aSaG3VGleoUtKVc,
Rebel Rebel - 2014 Remaster,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",https://open.spotify.com/track/0BM4xE3z8cN5AakEhIL3Mm,
Papieros,Video,Nie Obchodzi Nas Rock,https://open.spotify.com/track/0Bn854XtnJv15m9f1ZvWbe,
