title,author,album,url,score
Toxin,"SID, RAM",Reptile,https://open.spotify.com/track/2P6KTqwcOk0KYECvM62lbo,
Gold Cobra,Limp Bizkit,Gold Cobra (Deluxe),https://open.spotify.com/track/2PDdjoIa7fHriNPkqu055e,
Obcy astronom - 2002 Remaster,Republika,Nieustanne Tango,https://open.spotify.com/track/2PYjTXiO7EGhY2hEzKm5qh,
Mind Your Manners,Pearl Jam,Lightning Bolt,https://open.spotify.com/track/2PdxbK3d0ZS58dD8jRqR6L,
Ostatnia Noc,"Sir Mich, TEDE",Vanillahajs,https://open.spotify.com/track/2R3wIFmjyNeXCLUEGaRH4K,
Seks w wielkim mieście,PIH,Dowód rzeczowy nr. 2,https://open.spotify.com/track/2RABLcoSJQWrVNYzbnT86w,
10 Minutek,"Kaz Bałagane, Borixon",10 Minutek,https://open.spotify.com/track/2SeRdIVS6SkDkmdLicGh7B,
Johnny Däpp (Ich will Mallorca zurück),Lorenz Büffel,Johnny Däpp (Ich will Mallorca zurück),https://open.spotify.com/track/2TBimpeTwsFPzpSRuUHw18,
Mój kościół,Paluch,Czerwony Dywan,https://open.spotify.com/track/2UNQ43ByAYGEMUkGYmHshx,
Victoria,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/2UTJhyGddShATTOlDnnAxX,
Later Bitches,The Prince Karma,Later Bitches,https://open.spotify.com/track/2UqYHXtJ0qLzd3fajJ7HSb,
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,https://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p,
Ja I Mój Rap,Green Grenade,Purple Tape,https://open.spotify.com/track/2VZTpTDwrrPcD02voPtOU1,
Unicorn - Original Mix,"TAI, le Shuuk",Unicorn,https://open.spotify.com/track/2VoLg2kV27ZMKJrCXFPL0o,
Ona Tańczy Dla Mnie,Weekend,Ona Tańczy Dla Mnie,https://open.spotify.com/track/2Wq2R59KXY8mW7sYGccrKA,
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,
